accum.value=0; ,EXPRESSION_STATEMENT, line no: 66,accum.value=0; ,EXPRESSION_STATEMENT, line no: 66, 0.03529053520421588, insert, 1.0, 2.0, 1.0
checksum.value=0; ,EXPRESSION_STATEMENT, line no: 67,checksum.value=0; ,EXPRESSION_STATEMENT, line no: 67, 0.03529053520421588, insert, 1.0, 2.0, 1.0
code.value=0; ,EXPRESSION_STATEMENT, line no: 68,code.value=0; ,EXPRESSION_STATEMENT, line no: 68, 0.03529053520421588, insert, 1.0, 2.0, 1.0
orig.value=' '; ,EXPRESSION_STATEMENT, line no: 69,orig.value=' '; ,EXPRESSION_STATEMENT, line no: 69, 0.03529053520421588, insert, 1.0, 2.0, 1.0
checksum.value=(char)((accum.value % 64) + 22); ,EXPRESSION_STATEMENT, line no: 79,checksum.value=(char)((accum.value % 64) + 22); ,EXPRESSION_STATEMENT, line no: 79, 0.03529053520421588, insert, 1.0, 4.0, 1.0
output+=(String.format("Check sum is %c\n" checksum.value)); ,EXPRESSION_STATEMENT, line no: 80,output+=(String.format("Check sum is %c\n" checksum.value)); ,EXPRESSION_STATEMENT, line no: 80, 0.03529053520421588, insert, 1.0, 3.0, 1.0
accum.value=0; ,EXPRESSION_STATEMENT, line no: 66,checksum.value=0; ,EXPRESSION_STATEMENT, line no: 67, 0.03058513051032043, insert, 1.0, 0.0, 0.7777777777777778
checksum.value=0; ,EXPRESSION_STATEMENT, line no: 67,accum.value=0; ,EXPRESSION_STATEMENT, line no: 66, 0.03058513051032043, insert, 1.0, 0.0, 0.7777777777777778
accum.value=0; ,EXPRESSION_STATEMENT, line no: 66,code.value=0; ,EXPRESSION_STATEMENT, line no: 68, 0.029644049571541337, insert, 1.0, 0.6666666666666666, 0.7333333333333333
code.value=0; ,EXPRESSION_STATEMENT, line no: 68,accum.value=0; ,EXPRESSION_STATEMENT, line no: 66, 0.029644049571541337, insert, 1.0, 0.6666666666666666, 0.7333333333333333
checksum.value=0; ,EXPRESSION_STATEMENT, line no: 67,code.value=0; ,EXPRESSION_STATEMENT, line no: 68, 0.028232428163372705, insert, 1.0, 0.0, 0.6666666666666666
code.value=0; ,EXPRESSION_STATEMENT, line no: 68,checksum.value=0; ,EXPRESSION_STATEMENT, line no: 67, 0.028232428163372705, insert, 1.0, 0.0, 0.6666666666666666
code.value=0; ,EXPRESSION_STATEMENT, line no: 68,orig.value=' '; ,EXPRESSION_STATEMENT, line no: 69, 0.027350164783267305, insert, 1.0, 0.0, 0.625
orig.value=' '; ,EXPRESSION_STATEMENT, line no: 69,code.value=0; ,EXPRESSION_STATEMENT, line no: 68, 0.027350164783267305, insert, 1.0, 0.0, 0.625
accum.value=0; ,EXPRESSION_STATEMENT, line no: 66,orig.value=' '; ,EXPRESSION_STATEMENT, line no: 69, 0.026026769713109212, insert, 1.0, 0.0, 0.5625
orig.value=' '; ,EXPRESSION_STATEMENT, line no: 69,accum.value=0; ,EXPRESSION_STATEMENT, line no: 66, 0.026026769713109212, insert, 1.0, 0.0, 0.5625
checksum.value=0; ,EXPRESSION_STATEMENT, line no: 67,orig.value=' '; ,EXPRESSION_STATEMENT, line no: 69, 0.024703374642951113, insert, 1.0, 0.6666666666666666, 0.5
orig.value=' '; ,EXPRESSION_STATEMENT, line no: 69,checksum.value=0; ,EXPRESSION_STATEMENT, line no: 67, 0.024703374642951113, insert, 1.0, 0.6666666666666666, 0.5
output+=(String.format("Enter an abitrarily long string  ending with carriage return > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("Enter an abitrarily long string  ending with carriage return > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.023527023469477253, insert, 1.0, 1.0, 1.0
output+=(String.format("Check sum is %c\n" checksum.value)); ,EXPRESSION_STATEMENT, line no: 80,output+=(String.format("Enter an abitrarily long string  ending with carriage return > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.023092284992323867, insert, 1.0, 0.3333333333333333, 0.42391304347826086
