output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 65, 0.020375, insert, 1.0, 1.0, 1.0
num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.020375, insert, 1.0, 3.0, 1.0
numl.value=num.value; ,EXPRESSION_STATEMENT, line no: 67,numl.value=num.value; ,EXPRESSION_STATEMENT, line no: 67, 0.020375, insert, 1.0, 3.0, 1.0
n.value=0; ,EXPRESSION_STATEMENT, line no: 68,n.value=0; ,EXPRESSION_STATEMENT, line no: 68, 0.020375, insert, 1.0, 2.0, 1.0
d0.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 73,d0.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 73, 0.020375, insert, 1.0, 3.0, 1.0
num.value=(num.value - d0.value) / 10; ,EXPRESSION_STATEMENT, line no: 74,num.value=(num.value - d0.value) / 10; ,EXPRESSION_STATEMENT, line no: 74, 0.020375, insert, 1.0, 3.0, 1.0
d1.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 75,d1.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 75, 0.020375, insert, 1.0, 3.0, 1.0
num.value=(num.value - d1.value) / 10; ,EXPRESSION_STATEMENT, line no: 76,num.value=(num.value - d1.value) / 10; ,EXPRESSION_STATEMENT, line no: 76, 0.020375, insert, 1.0, 3.0, 1.0
d2.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 77,d2.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 77, 0.020375, insert, 1.0, 3.0, 1.0
num.value=(num.value - d2.value) / 10; ,EXPRESSION_STATEMENT, line no: 78,num.value=(num.value - d2.value) / 10; ,EXPRESSION_STATEMENT, line no: 78, 0.020375, insert, 1.0, 3.0, 1.0
d3.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 79,d3.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 79, 0.020375, insert, 1.0, 3.0, 1.0
num.value=(num.value - d3.value) / 10; ,EXPRESSION_STATEMENT, line no: 80,num.value=(num.value - d3.value) / 10; ,EXPRESSION_STATEMENT, line no: 80, 0.020375, insert, 1.0, 3.0, 1.0
d4.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 81,d4.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 81, 0.020375, insert, 1.0, 3.0, 1.0
num.value=(num.value - d4.value) / 10; ,EXPRESSION_STATEMENT, line no: 82,num.value=(num.value - d4.value) / 10; ,EXPRESSION_STATEMENT, line no: 82, 0.020375, insert, 1.0, 3.0, 1.0
d5.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 83,d5.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 83, 0.020375, insert, 1.0, 3.0, 1.0
