output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.020375, insert, 1.0, 1.0, 1.0
n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63, 0.020375, insert, 1.0, 3.0, 1.0
status.value=n.value; ,EXPRESSION_STATEMENT, line no: 64,status.value=n.value; ,EXPRESSION_STATEMENT, line no: 64, 0.020375, insert, 1.0, 3.0, 1.0
test.value=status.value; ,EXPRESSION_STATEMENT, line no: 65,test.value=status.value; ,EXPRESSION_STATEMENT, line no: 65, 0.020375, insert, 1.0, 3.0, 1.0
output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 66,output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 66, 0.020375, insert, 1.0, 1.0, 1.0
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 79,output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 79, 0.020375, insert, 1.0, 1.0, 1.0
status.value=n.value; ,EXPRESSION_STATEMENT, line no: 64,test.value=status.value; ,EXPRESSION_STATEMENT, line no: 65, 0.016463000000000002, insert, 1.0, 1.5, 0.68
test.value=status.value; ,EXPRESSION_STATEMENT, line no: 65,status.value=n.value; ,EXPRESSION_STATEMENT, line no: 64, 0.016463000000000002, insert, 1.0, 1.5, 0.68
output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 79, 0.015816525423728814, insert, 1.0, 1.0, 0.6271186440677966
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 79,output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.015816525423728814, insert, 1.0, 1.0, 0.6271186440677966
output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 66, 0.015790625000000003, insert, 1.0, 1.0, 0.625
output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 66,output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.015790625000000003, insert, 1.0, 1.0, 0.625
