output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.020375, insert, 1.0, 1.0, 1.0
n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63, 0.020375, insert, 1.0, 3.0, 1.0
rem.value=n.value % 10; ,EXPRESSION_STATEMENT, line no: 69,rem.value=n.value % 10; ,EXPRESSION_STATEMENT, line no: 65, 0.020375, insert, 0.3333333333333333, 3.0, 1.0
output+=(String.format("\n%d" rem.value)); ,EXPRESSION_STATEMENT, line no: 70,output+=(String.format("\n%d" rem.value)); ,EXPRESSION_STATEMENT, line no: 67, 0.020375, insert, 0.3333333333333333, 3.0, 1.0
output+=(String.format("\nThat's all  have a nice day!")); ,EXPRESSION_STATEMENT, line no: 71,output+=(String.format("\nThat's all  have a nice day!")); ,EXPRESSION_STATEMENT, line no: 71, 0.020375, insert, 1.0, 1.0, 1.0
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("\nThat's all  have a nice day!")); ,EXPRESSION_STATEMENT, line no: 71, 0.016230932203389833, insert, 1.0, 1.0, 0.6610169491525424
output+=(String.format("\nThat's all  have a nice day!")); ,EXPRESSION_STATEMENT, line no: 71,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.016230932203389833, insert, 1.0, 1.0, 0.6610169491525424
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("\n%d" rem.value)); ,EXPRESSION_STATEMENT, line no: 67, 0.0162185, insert, 0.3333333333333333, 1.0, 0.66
output+=(String.format("\n%d" rem.value)); ,EXPRESSION_STATEMENT, line no: 70,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.0162185, insert, 1.0, 0.3333333333333333, 0.66
output+=(String.format("\n%d" rem.value)); ,EXPRESSION_STATEMENT, line no: 70,output+=(String.format("\nThat's all  have a nice day!")); ,EXPRESSION_STATEMENT, line no: 71, 0.015194915254237289, insert, 1.0, 0.3333333333333333, 0.576271186440678
output+=(String.format("\nThat's all  have a nice day!")); ,EXPRESSION_STATEMENT, line no: 71,output+=(String.format("\n%d" rem.value)); ,EXPRESSION_STATEMENT, line no: 67, 0.015194915254237289, insert, 0.3333333333333333, 1.0, 0.576271186440678
n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,rem.value=n.value % 10; ,EXPRESSION_STATEMENT, line no: 65, 0.013583333333333336, insert, 0.3333333333333333, 1.5, 0.4444444444444444
rem.value=n.value % 10; ,EXPRESSION_STATEMENT, line no: 69,n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63, 0.013583333333333336, insert, 1.0, 1.5, 0.4444444444444444
rem.value=n.value % 10; ,EXPRESSION_STATEMENT, line no: 69,n.value=n.value / 10; ,EXPRESSION_STATEMENT, line no: 66, 0.012904166666666666, insert, 0.3333333333333333, 1.3333333333333333, 0.8333333333333334
rem.value=n.value % 10; ,EXPRESSION_STATEMENT, line no: 69,output+=(String.format("\n%d" rem.value)); ,EXPRESSION_STATEMENT, line no: 67, 0.011561627906976747, insert, 0.3333333333333333, 1.5, 0.27906976744186046
output+=(String.format("\n%d" rem.value)); ,EXPRESSION_STATEMENT, line no: 70,rem.value=n.value % 10; ,EXPRESSION_STATEMENT, line no: 65, 0.011561627906976747, insert, 0.3333333333333333, 1.5, 0.27906976744186046
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63, 0.011328500000000002, insert, 1.0, 0.0, 0.26
n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.011328500000000002, insert, 1.0, 0.0, 0.26
n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("\n%d" rem.value)); ,EXPRESSION_STATEMENT, line no: 67, 0.010993023255813954, insert, 0.3333333333333333, 0.6000000000000001, 0.23255813953488372
output+=(String.format("\n%d" rem.value)); ,EXPRESSION_STATEMENT, line no: 70,n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63, 0.010993023255813954, insert, 1.0, 0.6000000000000001, 0.23255813953488372
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,rem.value=n.value % 10; ,EXPRESSION_STATEMENT, line no: 65, 0.010595, insert, 0.3333333333333333, 0.0, 0.2
rem.value=n.value % 10; ,EXPRESSION_STATEMENT, line no: 69,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.010595, insert, 1.0, 0.0, 0.2
n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("\nThat's all  have a nice day!")); ,EXPRESSION_STATEMENT, line no: 71, 0.010429237288135594, insert, 1.0, 0.0, 0.1864406779661017
rem.value=n.value % 10; ,EXPRESSION_STATEMENT, line no: 69,output+=(String.format("\nThat's all  have a nice day!")); ,EXPRESSION_STATEMENT, line no: 71, 0.010429237288135594, insert, 1.0, 0.0, 0.1864406779661017
output+=(String.format("\nThat's all  have a nice day!")); ,EXPRESSION_STATEMENT, line no: 71,n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63, 0.010429237288135594, insert, 1.0, 0.0, 0.1864406779661017
output+=(String.format("\nThat's all  have a nice day!")); ,EXPRESSION_STATEMENT, line no: 71,rem.value=n.value % 10; ,EXPRESSION_STATEMENT, line no: 65, 0.010429237288135594, insert, 0.3333333333333333, 0.0, 0.1864406779661017
output+=(String.format("\n%d" rem.value)); ,EXPRESSION_STATEMENT, line no: 70,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.009048316375968993, insert, 0.5520833333333334, 0.5, 0.37209302325581395
n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.009027256944444444, insert, 0.5520833333333334, 0.0, 0.37037037037037035
n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,n.value=n.value / 10; ,EXPRESSION_STATEMENT, line no: 66, 0.008602777777777777, insert, 0.3333333333333333, 1.3333333333333333, 0.48148148148148145
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.008411479166666668, insert, 0.5520833333333334, 1.0, 0.32
rem.value=n.value % 10; ,EXPRESSION_STATEMENT, line no: 69,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.008065104166666668, insert, 0.5520833333333334, 0.0, 0.2916666666666667
String,SIMPLE_NAME, line no: 62,String,SIMPLE_NAME, line no: 49, 0.007825, insert, 0.53, 0.0, 1.0
format,SIMPLE_NAME, line no: 62,format,SIMPLE_NAME, line no: 62, 0.007825, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 63,scanner,SIMPLE_NAME, line no: 51, 0.007825, insert, 0.1717171717171717, 1.0, 1.0
nextInt,SIMPLE_NAME, line no: 63,nextInt,SIMPLE_NAME, line no: 63, 0.007825, insert, 1.0, 0.0, 1.0
String,SIMPLE_NAME, line no: 70,String,SIMPLE_NAME, line no: 49, 0.007825, insert, 0.53, 0.0, 1.0
format,SIMPLE_NAME, line no: 70,format,SIMPLE_NAME, line no: 62, 0.007825, insert, 1.0, 0.0, 1.0
rem,SIMPLE_NAME, line no: 70,rem,SIMPLE_NAME, line no: 61, 0.007825, insert, 0.9504950495049505, 1.0, 1.0
value,SIMPLE_NAME, line no: 70,value,SIMPLE_NAME, line no: 7, 0.007825, insert, 0.0594059405940594, 1.0, 1.0
String,SIMPLE_NAME, line no: 71,String,SIMPLE_NAME, line no: 49, 0.007825, insert, 0.53, 0.0, 1.0
format,SIMPLE_NAME, line no: 71,format,SIMPLE_NAME, line no: 62, 0.007825, insert, 1.0, 0.0, 1.0
n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.0077165844298245625, insert, 0.5520833333333334, 0.0, 0.2631578947368421
rem.value=n.value % 10; ,EXPRESSION_STATEMENT, line no: 69,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.0077165844298245625, insert, 0.5520833333333334, 0.0, 0.2631578947368421
output+=(String.format("\nThat's all  have a nice day!")); ,EXPRESSION_STATEMENT, line no: 71,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.007607530014124295, insert, 0.5520833333333334, 1.0, 0.2542372881355932
output+=(String.format("\n%d" rem.value)); ,EXPRESSION_STATEMENT, line no: 70,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.006773897771317829, insert, 0.5520833333333334, 0.0, 0.18604651162790697
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.0066999791666666675, insert, 0.5520833333333334, 0.0, 0.18
output+=(String.format("\nThat's all  have a nice day!")); ,EXPRESSION_STATEMENT, line no: 71,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.006571513064971751, insert, 0.5520833333333334, 0.0, 0.1694915254237288
output+=(String.format("\n%d" rem.value)); ,EXPRESSION_STATEMENT, line no: 70,n.value=n.value / 10; ,EXPRESSION_STATEMENT, line no: 66, 0.006128294573643412, insert, 0.3333333333333333, 0.5, 0.27906976744186046
rem.value,QUALIFIED_NAME, line no: 70,value,SIMPLE_NAME, line no: 7, 0.005738333333333334, insert, 0.06, 0.5, 0.5555555555555556
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,mainClass.scanner=new java.util.Scanner(args[0]); ,EXPRESSION_STATEMENT, line no: 51, 0.005345041666666667, insert, 0.14583333333333334, 0.0, 0.34
n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,mainClass.scanner=new java.util.Scanner(args[0]); ,EXPRESSION_STATEMENT, line no: 51, 0.005345041666666667, insert, 0.14583333333333334, 0.5, 0.34
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,mainClass.scanner=new java.util.Scanner(System.in); ,EXPRESSION_STATEMENT, line no: 53, 0.005270072115384615, insert, 0.15625, 0.0, 0.3269230769230769
n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,mainClass.scanner=new java.util.Scanner(System.in); ,EXPRESSION_STATEMENT, line no: 53, 0.005270072115384615, insert, 0.15625, 0.5, 0.3269230769230769
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,n.value=n.value / 10; ,EXPRESSION_STATEMENT, line no: 66, 0.005161666666666666, insert, 0.3333333333333333, 0.0, 0.2
nextInt,SIMPLE_NAME, line no: 63,IntObj,SIMPLE_NAME, line no: 60, 0.005047294372294372, insert, 0.9696969696969697, 0.0, 0.42857142857142855
output+=(String.format("\nThat's all  have a nice day!")); ,EXPRESSION_STATEMENT, line no: 71,n.value=n.value / 10; ,EXPRESSION_STATEMENT, line no: 66, 0.00499590395480226, insert, 0.3333333333333333, 0.0, 0.1864406779661017
output+=(String.format("\nThat's all  have a nice day!")); ,EXPRESSION_STATEMENT, line no: 71,mainClass.scanner=new java.util.Scanner(System.in); ,EXPRESSION_STATEMENT, line no: 53, 0.004795895127118644, insert, 0.15625, 0.0, 0.288135593220339
output+=(String.format("\nThat's all  have a nice day!")); ,EXPRESSION_STATEMENT, line no: 71,mainClass.scanner=new java.util.Scanner(args[0]); ,EXPRESSION_STATEMENT, line no: 51, 0.004710999293785311, insert, 0.14583333333333334, 0.0, 0.288135593220339
format,SIMPLE_NAME, line no: 62,rem,SIMPLE_NAME, line no: 61, 0.004695, insert, 0.96, 0.0, 0.3333333333333333
format,SIMPLE_NAME, line no: 70,rem,SIMPLE_NAME, line no: 61, 0.004695, insert, 0.96, 0.0, 0.3333333333333333
rem.value,QUALIFIED_NAME, line no: 70,rem,SIMPLE_NAME, line no: 61, 0.004695, insert, 0.96, 0.5, 0.3333333333333333
rem.value,QUALIFIED_NAME, line no: 70,format,SIMPLE_NAME, line no: 62, 0.004695, insert, 1.0, 0.0, 0.3333333333333333
format,SIMPLE_NAME, line no: 71,rem,SIMPLE_NAME, line no: 61, 0.004695, insert, 0.96, 0.0, 0.3333333333333333
rem,SIMPLE_NAME, line no: 70,format,SIMPLE_NAME, line no: 62, 0.004664009900990099, insert, 0.9900990099009901, 0.0, 0.3333333333333333
format,SIMPLE_NAME, line no: 62,output,SIMPLE_NAME, line no: 49, 0.0046324, insert, 0.53, 0.0, 0.3333333333333333
format,SIMPLE_NAME, line no: 70,output,SIMPLE_NAME, line no: 49, 0.0046324, insert, 0.53, 0.0, 0.3333333333333333
format,SIMPLE_NAME, line no: 71,output,SIMPLE_NAME, line no: 49, 0.0046324, insert, 0.53, 0.0, 0.3333333333333333
scanner,SIMPLE_NAME, line no: 63,Scanner,SIMPLE_NAME, line no: 44, 0.004624992784992785, insert, 0.010101010101010102, 0.0, 0.8571428571428571
output+=(String.format("\n%d" rem.value)); ,EXPRESSION_STATEMENT, line no: 70,mainClass.scanner=new java.util.Scanner(args[0]); ,EXPRESSION_STATEMENT, line no: 51, 0.0046115416666666674, insert, 0.14583333333333334, 0.0, 0.28
output+=(String.format("\n%d" rem.value)); ,EXPRESSION_STATEMENT, line no: 70,mainClass.scanner=new java.util.Scanner(System.in); ,EXPRESSION_STATEMENT, line no: 53, 0.004564783653846154, insert, 0.15625, 0.0, 0.2692307692307692
scanner,SIMPLE_NAME, line no: 63,value,SIMPLE_NAME, line no: 7, 0.0044714285714285715, insert, 0.06060606060606061, 0.0, 0.2857142857142857
scanner,SIMPLE_NAME, line no: 63,nextInt,SIMPLE_NAME, line no: 63, 0.0044714285714285715, insert, 1.0, 0.0, 0.2857142857142857
nextInt,SIMPLE_NAME, line no: 63,String,SIMPLE_NAME, line no: 49, 0.0044714285714285715, insert, 0.5353535353535354, 0.0, 0.2857142857142857
