output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.04555988504155822, insert, 1.0, 1.0, 1.0
n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63, 0.04555988504155822, insert, 1.0, 3.0, 1.0
d.value=n.value / 10; ,EXPRESSION_STATEMENT, line no: 64,d.value=n.value / 10; ,EXPRESSION_STATEMENT, line no: 64, 0.04555988504155822, insert, 1.0, 3.0, 1.0
z.value=n.value % 10; ,EXPRESSION_STATEMENT, line no: 65,z.value=n.value % 10; ,EXPRESSION_STATEMENT, line no: 65, 0.04555988504155822, insert, 1.0, 3.0, 1.0
d.value=n.value / 10; ,EXPRESSION_STATEMENT, line no: 64,z.value=n.value % 10; ,EXPRESSION_STATEMENT, line no: 65, 0.04307480040292777, insert, 1.0, 1.5, 0.9090909090909091
z.value=n.value % 10; ,EXPRESSION_STATEMENT, line no: 65,d.value=n.value / 10; ,EXPRESSION_STATEMENT, line no: 64, 0.04307480040292777, insert, 1.0, 1.5, 0.9090909090909091
n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,d.value=n.value / 10; ,EXPRESSION_STATEMENT, line no: 64, 0.030373256694372148, insert, 1.0, 1.5, 0.4444444444444444
n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,z.value=n.value % 10; ,EXPRESSION_STATEMENT, line no: 65, 0.030373256694372148, insert, 1.0, 1.5, 0.4444444444444444
d.value=n.value / 10; ,EXPRESSION_STATEMENT, line no: 64,n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63, 0.030373256694372148, insert, 1.0, 1.5, 0.4444444444444444
z.value=n.value % 10; ,EXPRESSION_STATEMENT, line no: 65,n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63, 0.030373256694372148, insert, 1.0, 1.5, 0.4444444444444444
d.value=n.value / 10; ,EXPRESSION_STATEMENT, line no: 64,d.value=d.value / 10; ,EXPRESSION_STATEMENT, line no: 81, 0.030223277565501964, insert, 0.19424460431654678, 1.3333333333333333, 0.9545454545454546
z.value=n.value % 10; ,EXPRESSION_STATEMENT, line no: 65,x.value=d.value % 10; ,EXPRESSION_STATEMENT, line no: 80, 0.028980735246186738, insert, 0.19424460431654678, 0.6000000000000001, 0.9090909090909091
d.value=n.value / 10; ,EXPRESSION_STATEMENT, line no: 64,x.value=d.value % 10; ,EXPRESSION_STATEMENT, line no: 80, 0.027738192926871512, insert, 0.19424460431654678, 1.5, 0.8636363636363636
z.value=n.value % 10; ,EXPRESSION_STATEMENT, line no: 65,d.value=d.value / 10; ,EXPRESSION_STATEMENT, line no: 81, 0.027738192926871512, insert, 0.19424460431654678, 0.5, 0.8636363636363636
d.value=n.value / 10; ,EXPRESSION_STATEMENT, line no: 64,d.value=d.value * (-1); ,EXPRESSION_STATEMENT, line no: 91, 0.026885248708876354, insert, 0.28776978417266186, 1.3333333333333333, 0.7916666666666666
