output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 65, 0.020375, insert, 1.0, 1.0, 1.0
floatnum.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66,floatnum.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66, 0.020375, insert, 1.0, 3.0, 1.0
num.value=(int)floatnum.value; ,EXPRESSION_STATEMENT, line no: 67,num.value=(int)floatnum.value; ,EXPRESSION_STATEMENT, line no: 67, 0.020375, insert, 1.0, 4.0, 1.0
absnum.value=Math.abs(num.value); ,EXPRESSION_STATEMENT, line no: 68,absnum.value=Math.abs(num.value); ,EXPRESSION_STATEMENT, line no: 68, 0.020375, insert, 1.0, 3.0, 1.0
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 203,output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 203, 0.020375, insert, 1.0, 1.0, 1.0
num.value=(int)floatnum.value; ,EXPRESSION_STATEMENT, line no: 67,absnum.value=Math.abs(num.value); ,EXPRESSION_STATEMENT, line no: 68, 0.016419852941176472, insert, 1.0, 1.2000000000000002, 0.6764705882352942
absnum.value=Math.abs(num.value); ,EXPRESSION_STATEMENT, line no: 68,num.value=(int)floatnum.value; ,EXPRESSION_STATEMENT, line no: 67, 0.016419852941176472, insert, 1.0, 1.6, 0.6764705882352942
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 203, 0.015816525423728814, insert, 1.0, 1.0, 0.6271186440677966
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 203,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 65, 0.015816525423728814, insert, 1.0, 1.0, 0.6271186440677966
floatnum.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66,absnum.value=Math.abs(num.value); ,EXPRESSION_STATEMENT, line no: 68, 0.01475810810810811, insert, 1.0, 0.0, 0.5405405405405406
absnum.value=Math.abs(num.value); ,EXPRESSION_STATEMENT, line no: 68,floatnum.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66, 0.01475810810810811, insert, 1.0, 0.0, 0.5405405405405406
floatnum.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66,num.value=(int)floatnum.value; ,EXPRESSION_STATEMENT, line no: 67, 0.014097297297297298, insert, 1.0, 1.6, 0.4864864864864865
num.value=(int)floatnum.value; ,EXPRESSION_STATEMENT, line no: 67,floatnum.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66, 0.014097297297297298, insert, 1.0, 1.2000000000000002, 0.4864864864864865
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 65,floatnum.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66, 0.011817500000000002, insert, 1.0, 0.0, 0.3
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 65,num.value=(int)floatnum.value; ,EXPRESSION_STATEMENT, line no: 67, 0.011817500000000002, insert, 1.0, 0.0, 0.3
floatnum.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 65, 0.011817500000000002, insert, 1.0, 0.0, 0.3
num.value=(int)floatnum.value; ,EXPRESSION_STATEMENT, line no: 67,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 65, 0.011817500000000002, insert, 1.0, 0.0, 0.3
