output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.020375, insert, 1.0, 1.0, 1.0
num_input.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,num_input.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63, 0.020375, insert, 1.0, 3.0, 1.0
num_input2.value=num_input.value; ,EXPRESSION_STATEMENT, line no: 64,num_input2.value=num_input.value; ,EXPRESSION_STATEMENT, line no: 64, 0.020375, insert, 1.0, 3.0, 1.0
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 73,output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 73, 0.020375, insert, 1.0, 1.0, 1.0
num_input.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,num_input2.value=num_input.value; ,EXPRESSION_STATEMENT, line no: 64, 0.015834285714285714, insert, 1.0, 1.5, 0.6285714285714286
num_input2.value=num_input.value; ,EXPRESSION_STATEMENT, line no: 64,num_input.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63, 0.015834285714285714, insert, 1.0, 1.5, 0.6285714285714286
output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 73, 0.015816525423728814, insert, 1.0, 1.0, 0.6271186440677966
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 73,output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.015816525423728814, insert, 1.0, 1.0, 0.6271186440677966
num_input2.value=num_input.value; ,EXPRESSION_STATEMENT, line no: 64,num_input2.value=(num_input2.value / 10); ,EXPRESSION_STATEMENT, line no: 67, 0.01432888471177945, insert, 0.543859649122807, 1.3333333333333333, 0.8095238095238095
output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("\n%d\n" digit.value)); ,EXPRESSION_STATEMENT, line no: 71, 0.012837143640350877, insert, 0.543859649122807, 1.0, 0.6875
output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,num_input.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63, 0.0119703125, insert, 1.0, 0.0, 0.3125
num_input.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.0119703125, insert, 1.0, 0.0, 0.3125
output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,num_input2.value=num_input.value; ,EXPRESSION_STATEMENT, line no: 64, 0.011715625000000002, insert, 1.0, 0.0, 0.2916666666666667
num_input2.value=num_input.value; ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.011715625000000002, insert, 1.0, 0.0, 0.2916666666666667
num_input2.value=num_input.value; ,EXPRESSION_STATEMENT, line no: 64,digit.value=Math.abs(num_input2.value % 10); ,EXPRESSION_STATEMENT, line no: 66, 0.011495789473684211, insert, 0.543859649122807, 1.5, 0.5777777777777777
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 73,output+=(String.format("\n%d\n" digit.value)); ,EXPRESSION_STATEMENT, line no: 71, 0.011270168004757658, insert, 0.543859649122807, 1.0, 0.559322033898305
num_input.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 73, 0.011258050847457627, insert, 1.0, 0.0, 0.2542372881355932
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 73,num_input.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63, 0.011258050847457627, insert, 1.0, 0.0, 0.2542372881355932
num_input.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,num_input2.value=(num_input2.value / 10); ,EXPRESSION_STATEMENT, line no: 67, 0.011127098997493734, insert, 0.543859649122807, 0.5, 0.5476190476190477
num_input2.value=num_input.value; ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 73, 0.010843644067796612, insert, 1.0, 0.0, 0.22033898305084745
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 73,num_input2.value=num_input.value; ,EXPRESSION_STATEMENT, line no: 64, 0.010843644067796612, insert, 1.0, 0.0, 0.22033898305084745
num_input.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,digit.value=Math.abs(num_input2.value % 10); ,EXPRESSION_STATEMENT, line no: 66, 0.009322456140350878, insert, 0.543859649122807, 0.6000000000000001, 0.4
num_input2.value=num_input.value; ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("\n%d\n" digit.value)); ,EXPRESSION_STATEMENT, line no: 71, 0.008854264650989175, insert, 0.543859649122807, 0.6000000000000001, 0.3617021276595745
output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,digit.value=Math.abs(num_input2.value % 10); ,EXPRESSION_STATEMENT, line no: 66, 0.008762143640350878, insert, 0.543859649122807, 0.0, 0.3541666666666667
output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,num_input2.value=(num_input2.value / 10); ,EXPRESSION_STATEMENT, line no: 67, 0.008762143640350878, insert, 0.543859649122807, 0.0, 0.3541666666666667
num_input2.value=num_input.value; ,EXPRESSION_STATEMENT, line no: 64,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.008292982456140352, insert, 0.4649122807017544, 0.0, 0.3684210526315789
num_input.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.00798046365914787, insert, 0.4649122807017544, 0.0, 0.34285714285714286
