output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.02881460133335181, insert, 1.0, 1.0, 1.0
n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63, 0.02881460133335181, insert, 1.0, 3.0, 1.0
output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 64, 0.02881460133335181, insert, 1.0, 1.0, 1.0
n.value=Math.abs(n.value); ,EXPRESSION_STATEMENT, line no: 65,n.value=Math.abs(n.value); ,EXPRESSION_STATEMENT, line no: 65, 0.02881460133335181, insert, 1.0, 2.0, 1.0
digits.value=1; ,EXPRESSION_STATEMENT, line no: 66,digits.value=1; ,EXPRESSION_STATEMENT, line no: 66, 0.02881460133335181, insert, 1.0, 2.0, 1.0
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 72,output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 72, 0.02881460133335181, insert, 1.0, 1.0, 1.0
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 72, 0.02236794476385615, insert, 1.0, 1.0, 0.6271186440677966
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 72,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.02236794476385615, insert, 1.0, 1.0, 0.6271186440677966
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 64, 0.0222448722293476, insert, 1.0, 1.0, 0.62
output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.0222448722293476, insert, 1.0, 1.0, 0.62
n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,n.value=Math.abs(n.value); ,EXPRESSION_STATEMENT, line no: 65, 0.021130707644457996, insert, 1.0, 1.3333333333333333, 0.5555555555555556
n.value=Math.abs(n.value); ,EXPRESSION_STATEMENT, line no: 65,n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63, 0.021130707644457996, insert, 1.0, 2.0, 0.5555555555555556
output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 72, 0.020609765699448244, insert, 1.0, 1.0, 0.5254237288135594
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 72,output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 64, 0.020609765699448244, insert, 1.0, 1.0, 0.5254237288135594
n.value=Math.abs(n.value); ,EXPRESSION_STATEMENT, line no: 65,digits.value=1; ,EXPRESSION_STATEMENT, line no: 66, 0.01792908527408557, insert, 1.0, 0.6666666666666666, 0.37037037037037035
digits.value=1; ,EXPRESSION_STATEMENT, line no: 66,n.value=Math.abs(n.value); ,EXPRESSION_STATEMENT, line no: 65, 0.01792908527408557, insert, 1.0, 0.6666666666666666, 0.37037037037037035
n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,digits.value=1; ,EXPRESSION_STATEMENT, line no: 66, 0.017288760800011085, insert, 1.0, 0.5, 0.3333333333333333
digits.value=1; ,EXPRESSION_STATEMENT, line no: 66,n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63, 0.017288760800011085, insert, 1.0, 0.75, 0.3333333333333333
output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 64,n.value=Math.abs(n.value); ,EXPRESSION_STATEMENT, line no: 65, 0.017102860146247525, insert, 1.0, 0.0, 0.3225806451612903
n.value=Math.abs(n.value); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 64, 0.017102860146247525, insert, 1.0, 0.0, 0.3225806451612903
n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 64, 0.016545158184956846, insert, 1.0, 0.0, 0.2903225806451613
output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 64,n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63, 0.016545158184956846, insert, 1.0, 0.0, 0.2903225806451613
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63, 0.016020918341343608, insert, 1.0, 0.0, 0.26
n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.016020918341343608, insert, 1.0, 0.0, 0.26
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,n.value=Math.abs(n.value); ,EXPRESSION_STATEMENT, line no: 65, 0.015675143125343387, insert, 1.0, 0.0, 0.24
n.value=Math.abs(n.value); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.015675143125343387, insert, 1.0, 0.0, 0.24
output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("%d\n" digits.value)); ,EXPRESSION_STATEMENT, line no: 69, 0.015339390379372155, insert, 0.32, 1.0, 0.6739130434782609
n.value=Math.abs(n.value); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 72, 0.015335228506224523, insert, 1.0, 0.0, 0.22033898305084745
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 72,n.value=Math.abs(n.value); ,EXPRESSION_STATEMENT, line no: 65, 0.015335228506224523, insert, 1.0, 0.0, 0.22033898305084745
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("%d\n" digits.value)); ,EXPRESSION_STATEMENT, line no: 69, 0.015098851098676348, insert, 0.32, 1.0, 0.66
n.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 72, 0.015042198662156538, insert, 1.0, 0.0, 0.2033898305084746
