output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61, 0.02881460133335181, insert, 1.0, 1.0, 1.0
num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62,num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62, 0.02881460133335181, insert, 1.0, 3.0, 1.0
digit.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 63,digit.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 63, 0.02881460133335181, insert, 1.0, 3.0, 1.0
num.value=(int)(num.value); ,EXPRESSION_STATEMENT, line no: 64,num.value=(int)(num.value); ,EXPRESSION_STATEMENT, line no: 64, 0.02881460133335181, insert, 1.0, 2.0, 1.0
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 73,output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 73, 0.02881460133335181, insert, 1.0, 1.0, 1.0
digit.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 63,num.value=(int)(num.value); ,EXPRESSION_STATEMENT, line no: 64, 0.022640043904776426, insert, 1.0, 1.3333333333333333, 0.6428571428571429
num.value=(int)(num.value); ,EXPRESSION_STATEMENT, line no: 64,digit.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 63, 0.022640043904776426, insert, 1.0, 2.0, 0.6428571428571429
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61,output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 73, 0.02236794476385615, insert, 1.0, 1.0, 0.6271186440677966
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 73,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61, 0.02236794476385615, insert, 1.0, 1.0, 0.6271186440677966
num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62,num.value=(int)(num.value); ,EXPRESSION_STATEMENT, line no: 64, 0.021660631347140323, insert, 1.0, 1.3333333333333333, 0.5862068965517241
num.value=(int)(num.value); ,EXPRESSION_STATEMENT, line no: 64,num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62, 0.021660631347140323, insert, 1.0, 2.0, 0.5862068965517241
digit.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 63,num.value=num.value / 10; ,EXPRESSION_STATEMENT, line no: 70, 0.0192993191693158, insert, 0.49586776859504134, 1.3333333333333333, 0.7857142857142857
num.value=(int)(num.value); ,EXPRESSION_STATEMENT, line no: 64,num.value=num.value / 10; ,EXPRESSION_STATEMENT, line no: 70, 0.018681863426458258, insert, 0.49586776859504134, 2.0, 0.75
num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62,digit.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 63, 0.01867981051955221, insert, 1.0, 1.5, 0.41379310344827586
digit.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 63,num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62, 0.01867981051955221, insert, 1.0, 1.5, 0.41379310344827586
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61,output+=(String.format("%d\n" digit.value)); ,EXPRESSION_STATEMENT, line no: 69, 0.017125874954457262, insert, 0.49586776859504134, 1.0, 0.66
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61,num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62, 0.01636669355734383, insert, 1.0, 0.0, 0.28
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61,num.value=(int)(num.value); ,EXPRESSION_STATEMENT, line no: 64, 0.01636669355734383, insert, 1.0, 0.0, 0.28
num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61, 0.01636669355734383, insert, 1.0, 0.0, 0.28
num.value=(int)(num.value); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61, 0.01636669355734383, insert, 1.0, 0.0, 0.28
num.value=(int)(num.value); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 73, 0.015628258350292506, insert, 1.0, 0.0, 0.23728813559322035
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 73,num.value=(int)(num.value); ,EXPRESSION_STATEMENT, line no: 64, 0.015628258350292506, insert, 1.0, 0.0, 0.23728813559322035
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61,digit.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 63, 0.015329367909343163, insert, 1.0, 0.0, 0.22
digit.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61, 0.015329367909343163, insert, 1.0, 0.0, 0.22
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 73,output+=(String.format("%d\n" digit.value)); ,EXPRESSION_STATEMENT, line no: 69, 0.015092247836625449, insert, 0.49586776859504134, 1.0, 0.5423728813559322
num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 73, 0.015042198662156538, insert, 1.0, 0.0, 0.2033898305084746
digit.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 73, 0.015042198662156538, insert, 1.0, 0.0, 0.2033898305084746
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 73,num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62, 0.015042198662156538, insert, 1.0, 0.0, 0.2033898305084746
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 73,digit.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 63, 0.015042198662156538, insert, 1.0, 0.0, 0.2033898305084746
num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62,num.value=num.value / 10; ,EXPRESSION_STATEMENT, line no: 70, 0.0146577553092143, insert, 0.49586776859504134, 1.3333333333333333, 0.5172413793103449
digit.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 63,digit.value=digit.value * -1; ,EXPRESSION_STATEMENT, line no: 67, 0.014493030059072654, insert, 0.10743801652892562, 1.3333333333333333, 0.7666666666666667
num.value=(int)(num.value); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("%d\n" digit.value)); ,EXPRESSION_STATEMENT, line no: 69, 0.01263079714645438, insert, 0.49586776859504134, 0.75, 0.4
num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.011511059603617148, insert, 0.4297520661157025, 0.0, 0.3793103448275862
num.value=(int)(num.value); ,EXPRESSION_STATEMENT, line no: 64,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.011322797235558952, insert, 0.4297520661157025, 0.0, 0.3684210526315789
String,SIMPLE_NAME, line no: 61,String,SIMPLE_NAME, line no: 49, 0.011066221125569469, insert, 0.416, 0.0, 1.0
format,SIMPLE_NAME, line no: 61,format,SIMPLE_NAME, line no: 61, 0.011066221125569469, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 62,scanner,SIMPLE_NAME, line no: 51, 0.011066221125569469, insert, 0.13709677419354838, 1.0, 1.0
nextInt,SIMPLE_NAME, line no: 62,nextInt,SIMPLE_NAME, line no: 62, 0.011066221125569469, insert, 1.0, 0.0, 1.0
String,SIMPLE_NAME, line no: 73,String,SIMPLE_NAME, line no: 49, 0.011066221125569469, insert, 0.416, 0.0, 1.0
format,SIMPLE_NAME, line no: 73,format,SIMPLE_NAME, line no: 61, 0.011066221125569469, insert, 1.0, 0.0, 1.0
num.value=(int)(num.value); ,EXPRESSION_STATEMENT, line no: 64,digit.value=digit.value * -1; ,EXPRESSION_STATEMENT, line no: 67, 0.011035277899070437, insert, 0.10743801652892562, 0.6666666666666666, 0.5666666666666667
digit.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("%d\n" digit.value)); ,EXPRESSION_STATEMENT, line no: 69, 0.010709823724230927, insert, 0.49586776859504134, 1.5, 0.28888888888888886
num.value=(int)(num.value); ,EXPRESSION_STATEMENT, line no: 64,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.010510355468641135, insert, 0.4297520661157025, 0.0, 0.32142857142857145
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.010485657238926836, insert, 0.4297520661157025, 1.0, 0.32
num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.009957895067137023, insert, 0.4297520661157025, 0.0, 0.2894736842105263
num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("%d\n" digit.value)); ,EXPRESSION_STATEMENT, line no: 69, 0.009941434355341545, insert, 0.49586776859504134, 0.6000000000000001, 0.24444444444444444
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61,num.value=num.value / 10; ,EXPRESSION_STATEMENT, line no: 70, 0.009518820202452385, insert, 0.49586776859504134, 0.0, 0.22
digit.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 63,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.009502927677663047, insert, 0.4297520661157025, 0.0, 0.2631578947368421
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 73,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.009348701443943055, insert, 0.4297520661157025, 1.0, 0.2542372881355932
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 73,num.value=num.value / 10; ,EXPRESSION_STATEMENT, line no: 70, 0.00923165095526576, insert, 0.49586776859504134, 0.0, 0.2033898305084746
digit.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 63,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.008657988240068519, insert, 0.4297520661157025, 0.0, 0.21428571428571427
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.008065230726925282, insert, 0.4297520661157025, 0.0, 0.18
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 73,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.007590522379535148, insert, 0.4297520661157025, 0.0, 0.15254237288135594
num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62,digit.value=digit.value * -1; ,EXPRESSION_STATEMENT, line no: 67, 0.00757752573906822, insert, 0.10743801652892562, 0.5, 0.36666666666666664
num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62,mainClass.scanner=new java.util.Scanner(args[0]); ,EXPRESSION_STATEMENT, line no: 51, 0.007557522214175646, insert, 0.11570247933884298, 0.5, 0.36
