value=i; ,EXPRESSION_STATEMENT, line no: 7,value=i; ,EXPRESSION_STATEMENT, line no: 7, 0.020375, insert, 1.0, 1.0, 1.0
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.020375, insert, 1.0, 1.0, 1.0
number.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,number.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63, 0.020375, insert, 1.0, 3.0, 1.0
output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 64, 0.020375, insert, 1.0, 1.0, 1.0
value=i; ,EXPRESSION_STATEMENT, line no: 7,i.value++; ,EXPRESSION_STATEMENT, line no: 76, 0.015929545454545453, insert, 1.0, 1.0, 0.6363636363636364
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 64, 0.0157295, insert, 1.0, 1.0, 0.62
output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.0157295, insert, 1.0, 1.0, 0.62
value=i; ,EXPRESSION_STATEMENT, line no: 7,state.value=-1; ,EXPRESSION_STATEMENT, line no: 68, 0.0142625, insert, 1.0, 1.0, 0.5
output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("%d\n" store.value)); ,EXPRESSION_STATEMENT, line no: 74, 0.013705114942528736, insert, 0.6482758620689655, 1.0, 0.6888888888888889
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("%d\n" store.value)); ,EXPRESSION_STATEMENT, line no: 74, 0.01359644827586207, insert, 0.6482758620689655, 1.0, 0.68
number.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,number.value=number.value / 10; ,EXPRESSION_STATEMENT, line no: 75, 0.012924073275862069, insert, 0.6482758620689655, 1.3333333333333333, 0.625
number.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 64, 0.0119703125, insert, 1.0, 0.0, 0.3125
output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 64,number.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63, 0.0119703125, insert, 1.0, 0.0, 0.3125
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,number.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63, 0.011573000000000002, insert, 1.0, 0.0, 0.28
number.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.011573000000000002, insert, 1.0, 0.0, 0.28
value=i; ,EXPRESSION_STATEMENT, line no: 7,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.011545833333333333, insert, 1.0, 0.0, 0.2777777777777778
value=i; ,EXPRESSION_STATEMENT, line no: 7,store.value=number.value % 10; ,EXPRESSION_STATEMENT, line no: 70, 0.011304838709677419, insert, 1.0, 1.0, 0.25806451612903225
value=i; ,EXPRESSION_STATEMENT, line no: 7,number.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63, 0.011206250000000001, insert, 1.0, 1.0, 0.25
value=i; ,EXPRESSION_STATEMENT, line no: 7,number.value=number.value * -1; ,EXPRESSION_STATEMENT, line no: 67, 0.011206250000000001, insert, 1.0, 1.0, 0.25
value=i; ,EXPRESSION_STATEMENT, line no: 7,number.value=number.value / 10; ,EXPRESSION_STATEMENT, line no: 75, 0.011206250000000001, insert, 1.0, 1.0, 0.25
number.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,store.value=number.value % 10; ,EXPRESSION_STATEMENT, line no: 70, 0.01101391702586207, insert, 0.6482758620689655, 1.5, 0.46875
value=i; ,EXPRESSION_STATEMENT, line no: 7,store.value=number.value * state.value; ,EXPRESSION_STATEMENT, line no: 72, 0.010595, insert, 1.0, 1.0, 0.2
value=i; ,EXPRESSION_STATEMENT, line no: 7,output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 64, 0.01012177419354839, insert, 1.0, 0.0, 0.16129032258064516
value=i; ,EXPRESSION_STATEMENT, line no: 7,output+=(String.format("%d\n" store.value)); ,EXPRESSION_STATEMENT, line no: 74, 0.010051666666666667, insert, 1.0, 1.0, 0.15555555555555556
value=i; ,EXPRESSION_STATEMENT, line no: 7,mainClass.scanner=new java.util.Scanner(args[0]); ,EXPRESSION_STATEMENT, line no: 51, 0.0098615, insert, 1.0, 0.0, 0.14
value=i; ,EXPRESSION_STATEMENT, line no: 7,mainClass.scanner=new java.util.Scanner(System.in); ,EXPRESSION_STATEMENT, line no: 53, 0.009795673076923077, insert, 1.0, 0.0, 0.1346153846153846
value=i; ,EXPRESSION_STATEMENT, line no: 7,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.009758552631578949, insert, 1.0, 0.0, 0.13157894736842105
