output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.07567857142857143, insert, 1.0, 1.0, 1.0
y.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,y.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64, 0.07567857142857143, insert, 1.0, 3.0, 1.0
n.value=0; ,EXPRESSION_STATEMENT, line no: 65,n.value=0; ,EXPRESSION_STATEMENT, line no: 65, 0.07567857142857143, insert, 1.0, 2.0, 1.0
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("\n%d" Math.abs(x.value))); ,EXPRESSION_STATEMENT, line no: 74, 0.05154705652752904, insert, 0.73224043715847, 1.0, 0.6470588235294118
n.value=0; ,EXPRESSION_STATEMENT, line no: 65,x.value=y.value; ,EXPRESSION_STATEMENT, line no: 83, 0.046205039720806355, insert, 0.73224043715847, 0.75, 0.5294117647058824
y.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,n.value=0; ,EXPRESSION_STATEMENT, line no: 65, 0.045407142857142854, insert, 1.0, 0.5, 0.3333333333333333
n.value=0; ,EXPRESSION_STATEMENT, line no: 65,y.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64, 0.045407142857142854, insert, 1.0, 0.75, 0.3333333333333333
y.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,y.value=temp.value; ,EXPRESSION_STATEMENT, line no: 84, 0.04402866250325266, insert, 0.73224043715847, 1.5, 0.48148148148148145
n.value=0; ,EXPRESSION_STATEMENT, line no: 65,n.value=n.value + 1; ,EXPRESSION_STATEMENT, line no: 85, 0.04378841307014609, insert, 0.73224043715847, 2.0, 0.47619047619047616
n.value=0; ,EXPRESSION_STATEMENT, line no: 65,x.value=y.value % 10; ,EXPRESSION_STATEMENT, line no: 73, 0.04280557448016465, insert, 0.73224043715847, 0.75, 0.45454545454545453
n.value=0; ,EXPRESSION_STATEMENT, line no: 65,x.value=y.value / 10; ,EXPRESSION_STATEMENT, line no: 75, 0.04280557448016465, insert, 0.73224043715847, 0.75, 0.45454545454545453
n.value=0; ,EXPRESSION_STATEMENT, line no: 65,temp.value=x.value; ,EXPRESSION_STATEMENT, line no: 82, 0.042599178376268546, insert, 0.73224043715847, 0.75, 0.45
n.value=0; ,EXPRESSION_STATEMENT, line no: 65,y.value=temp.value; ,EXPRESSION_STATEMENT, line no: 84, 0.042599178376268546, insert, 0.73224043715847, 0.75, 0.45
y.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,n.value=n.value + 1; ,EXPRESSION_STATEMENT, line no: 85, 0.04234691647150664, insert, 0.73224043715847, 0.5, 0.4444444444444444
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 63,y.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64, 0.04207728571428572, insert, 1.0, 0.0, 0.26
y.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.04207728571428572, insert, 1.0, 0.0, 0.26
y.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,x.value=y.value % 10; ,EXPRESSION_STATEMENT, line no: 73, 0.0406651704397606, insert, 0.73224043715847, 1.5, 0.4074074074074074
y.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,x.value=y.value / 10; ,EXPRESSION_STATEMENT, line no: 75, 0.0406651704397606, insert, 0.73224043715847, 1.5, 0.4074074074074074
y.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,temp.value=x.value; ,EXPRESSION_STATEMENT, line no: 82, 0.0406651704397606, insert, 0.73224043715847, 0.6000000000000001, 0.4074074074074074
y.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,x.value=y.value; ,EXPRESSION_STATEMENT, line no: 83, 0.0406651704397606, insert, 0.73224043715847, 1.5, 0.4074074074074074
output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 63,n.value=0; ,EXPRESSION_STATEMENT, line no: 65, 0.03572028571428572, insert, 1.0, 0.0, 0.12
n.value=0; ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("\nEnter an integer > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.03572028571428572, insert, 1.0, 0.0, 0.12
n.value=0; ,EXPRESSION_STATEMENT, line no: 65,value=i; ,EXPRESSION_STATEMENT, line no: 7, 0.03368504719324392, insert, 0.02185792349726776, 0.5, 0.7272727272727273
