output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.05207928650944954, insert, 1.0, 1.0, 1.0
b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63, 0.05207928650944954, insert, 1.0, 3.0, 1.0
a.value=b.value / 10; ,EXPRESSION_STATEMENT, line no: 64,a.value=b.value / 10; ,EXPRESSION_STATEMENT, line no: 64, 0.05207928650944954, insert, 1.0, 3.0, 1.0
c.value=b.value % 10; ,EXPRESSION_STATEMENT, line no: 65,c.value=b.value % 10; ,EXPRESSION_STATEMENT, line no: 65, 0.05207928650944954, insert, 1.0, 3.0, 1.0
a.value=b.value / 10; ,EXPRESSION_STATEMENT, line no: 64,c.value=b.value % 10; ,EXPRESSION_STATEMENT, line no: 65, 0.049238598154388656, insert, 1.0, 1.5, 0.9090909090909091
c.value=b.value % 10; ,EXPRESSION_STATEMENT, line no: 65,a.value=b.value / 10; ,EXPRESSION_STATEMENT, line no: 64, 0.049238598154388656, insert, 1.0, 1.5, 0.9090909090909091
a.value=b.value / 10; ,EXPRESSION_STATEMENT, line no: 64,a.value=a.value / 10; ,EXPRESSION_STATEMENT, line no: 75, 0.03505590509880912, insert, 0.2151394422310757, 1.3333333333333333, 0.9545454545454546
c.value=b.value % 10; ,EXPRESSION_STATEMENT, line no: 65,x.value=a.value % 10; ,EXPRESSION_STATEMENT, line no: 74, 0.03363556092127867, insert, 0.2151394422310757, 0.6000000000000001, 0.9090909090909091
b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,a.value=b.value / 10; ,EXPRESSION_STATEMENT, line no: 64, 0.03356220686164526, insert, 1.0, 1.5, 0.4074074074074074
b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63,c.value=b.value % 10; ,EXPRESSION_STATEMENT, line no: 65, 0.03356220686164526, insert, 1.0, 1.5, 0.4074074074074074
a.value=b.value / 10; ,EXPRESSION_STATEMENT, line no: 64,b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63, 0.03356220686164526, insert, 1.0, 1.5, 0.4074074074074074
c.value=b.value % 10; ,EXPRESSION_STATEMENT, line no: 65,b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 63, 0.03356220686164526, insert, 1.0, 1.5, 0.4074074074074074
