output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 81,output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 72, 0.0631296285431809, insert, 0.46706586826347307, 1.0, 1.0
output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61,output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61, 0.061125, insert, 1.0, 1.0, 1.0
input.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62,input.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62, 0.061125, insert, 1.0, 3.0, 1.0
output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 63, 0.061125, insert, 1.0, 1.0, 1.0
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 81,output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61, 0.04900571164877432, insert, 1.0, 1.0, 0.6271186440677966
output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61,output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 72, 0.04744957627118644, insert, 0.46706586826347307, 1.0, 0.6271186440677966
output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61,output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 63, 0.047371875, insert, 1.0, 1.0, 0.625
output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61, 0.047371875, insert, 1.0, 1.0, 0.625
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 81,output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 63, 0.04515373431393617, insert, 1.0, 1.0, 0.5254237288135594
output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 72, 0.04371991525423729, insert, 0.46706586826347307, 1.0, 0.5254237288135594
input.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 63, 0.037463709677419355, insert, 1.0, 0.0, 0.3548387096774194
output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 63,input.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62, 0.037463709677419355, insert, 1.0, 0.0, 0.3548387096774194
output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61,output+=(String.format("-%d\n" input.value % 10)); ,EXPRESSION_STATEMENT, line no: 71, 0.03658887812610074, insert, 0.46706586826347307, 1.0, 0.6862745098039216
output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61,input.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62, 0.035146875, insert, 1.0, 0.0, 0.2916666666666667
input.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61, 0.035146875, insert, 1.0, 0.0, 0.2916666666666667
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 81,input.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62, 0.034239798531894725, insert, 1.0, 0.0, 0.23728813559322035
output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("-%d\n" input.value % 10)); ,EXPRESSION_STATEMENT, line no: 71, 0.033712407537865446, insert, 0.46706586826347307, 1.0, 0.6078431372549019
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 81,output+=(String.format("-%d\n" input.value % 10)); ,EXPRESSION_STATEMENT, line no: 71, 0.03362214947155141, insert, 0.46706586826347307, 1.0, 0.576271186440678
input.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62,input.value=input.value * (-1); ,EXPRESSION_STATEMENT, line no: 65, 0.03319554172904192, insert, 0.46706586826347307, 1.3333333333333333, 0.59375
input.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 72, 0.03315254237288136, insert, 0.46706586826347307, 0.0, 0.23728813559322035
output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("%d\n" display.value)); ,EXPRESSION_STATEMENT, line no: 68, 0.029021330742769778, insert, 0.19760479041916168, 1.0, 0.6595744680851063
output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61,output+=(String.format("%d\n" display.value)); ,EXPRESSION_STATEMENT, line no: 68, 0.028517374625748507, insert, 0.19760479041916168, 1.0, 0.6458333333333334
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 81,output+=(String.format("%d\n" display.value)); ,EXPRESSION_STATEMENT, line no: 68, 0.0268177583710888, insert, 0.19760479041916168, 1.0, 0.576271186440678
output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 63,input.value=input.value * (-1); ,EXPRESSION_STATEMENT, line no: 65, 0.025172885479041916, insert, 0.46706586826347307, 0.0, 0.375
input.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62,input.value=input.value / 10; ,EXPRESSION_STATEMENT, line no: 69, 0.02494353389994205, insert, 0.19760479041916168, 1.3333333333333333, 0.5483870967741935
String,SIMPLE_NAME, line no: 81,String,SIMPLE_NAME, line no: 49, 0.02424487574725843, insert, 0.30409356725146197, 0.0, 1.0
format,SIMPLE_NAME, line no: 81,format,SIMPLE_NAME, line no: 61, 0.02424487574725843, insert, 1.0, 0.0, 1.0
String,SIMPLE_NAME, line no: 61,String,SIMPLE_NAME, line no: 49, 0.023475000000000003, insert, 0.30409356725146197, 0.0, 1.0
format,SIMPLE_NAME, line no: 61,format,SIMPLE_NAME, line no: 61, 0.023475000000000003, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 62,scanner,SIMPLE_NAME, line no: 51, 0.023475000000000003, insert, 0.1, 1.0, 1.0
nextInt,SIMPLE_NAME, line no: 62,nextInt,SIMPLE_NAME, line no: 62, 0.023475000000000003, insert, 1.0, 0.0, 1.0
String,SIMPLE_NAME, line no: 63,String,SIMPLE_NAME, line no: 49, 0.023475000000000003, insert, 0.30409356725146197, 0.0, 1.0
format,SIMPLE_NAME, line no: 63,format,SIMPLE_NAME, line no: 61, 0.023475000000000003, insert, 1.0, 0.0, 1.0
output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61,input.value=input.value * (-1); ,EXPRESSION_STATEMENT, line no: 65, 0.02288069797904192, insert, 0.46706586826347307, 0.0, 0.3125
input.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("-%d\n" input.value % 10)); ,EXPRESSION_STATEMENT, line no: 71, 0.021487407537865447, insert, 0.46706586826347307, 1.5, 0.27450980392156865
output+=(String.format("That's all  have a nice day!\n")); ,EXPRESSION_STATEMENT, line no: 81,input.value=input.value * (-1); ,EXPRESSION_STATEMENT, line no: 65, 0.021424221244563918, insert, 0.46706586826347307, 0.0, 0.2542372881355932
