value=i; ,EXPRESSION_STATEMENT, line no: 7,value=i; ,EXPRESSION_STATEMENT, line no: 7, 0.07623626925551906, insert, 1.0, 1.0, 1.0
output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61,output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61, 0.07623626925551906, insert, 1.0, 1.0, 1.0
num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62,num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62, 0.07623626925551906, insert, 1.0, 3.0, 1.0
output+=(String.format("The digits for the %d are: \n" num.value)); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("The digits for the %d are: \n" num.value)); ,EXPRESSION_STATEMENT, line no: 63, 0.07623626925551906, insert, 1.0, 3.0, 1.0
output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61,output+=(String.format("The digits for the %d are: \n" num.value)); ,EXPRESSION_STATEMENT, line no: 63, 0.05471073440690191, insert, 1.0, 1.0, 0.5294117647058824
output+=(String.format("The digits for the %d are: \n" num.value)); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("Enter an integer > ")); ,EXPRESSION_STATEMENT, line no: 61, 0.05471073440690191, insert, 1.0, 0.3333333333333333, 0.5294117647058824
value=i; ,EXPRESSION_STATEMENT, line no: 7,count.value++; ,EXPRESSION_STATEMENT, line no: 68, 0.05184066309375296, insert, 1.0, 1.0, 0.4666666666666667
value=i; ,EXPRESSION_STATEMENT, line no: 7,rem.value=num.value % 10; ,EXPRESSION_STATEMENT, line no: 65, 0.0445688958724573, insert, 1.0, 1.0, 0.3076923076923077
value=i; ,EXPRESSION_STATEMENT, line no: 7,num.value=num.value / 10; ,EXPRESSION_STATEMENT, line no: 67, 0.0445688958724573, insert, 1.0, 1.0, 0.3076923076923077
value=i; ,EXPRESSION_STATEMENT, line no: 7,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.043200552578127466, insert, 1.0, 0.0, 0.2777777777777778
value=i; ,EXPRESSION_STATEMENT, line no: 7,num.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 62, 0.04311292468243147, insert, 1.0, 1.0, 0.27586206896551724
