a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 69,a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 69, 0.06074651338874429, insert, 1.0, 3.0, 1.0
b.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70,b.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70, 0.06074651338874429, insert, 1.0, 3.0, 1.0
c.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 71,c.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 71, 0.06074651338874429, insert, 1.0, 3.0, 1.0
d.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 72,d.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 72, 0.06074651338874429, insert, 1.0, 3.0, 1.0
output+=(String.format("Thank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 73,output+=(String.format("Thank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 73, 0.06074651338874429, insert, 1.0, 1.0, 1.0
perc.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 75,perc.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 75, 0.06074651338874429, insert, 1.0, 3.0, 1.0
output+=(String.format("Student has an %c grade\n" grade.value)); ,EXPRESSION_STATEMENT, line no: 87,output+=(String.format("Student has an %c grade\n" grade.value)); ,EXPRESSION_STATEMENT, line no: 87, 0.06074651338874429, insert, 1.0, 3.0, 1.0
a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 69,b.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70, 0.05948968897380476, insert, 1.0, 1.5, 0.9655172413793104
a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 69,c.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 71, 0.05948968897380476, insert, 1.0, 1.5, 0.9655172413793104
a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 69,d.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 72, 0.05948968897380476, insert, 1.0, 1.5, 0.9655172413793104
b.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70,a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 69, 0.05948968897380476, insert, 1.0, 1.5, 0.9655172413793104
b.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70,c.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 71, 0.05948968897380476, insert, 1.0, 1.5, 0.9655172413793104
b.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70,d.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 72, 0.05948968897380476, insert, 1.0, 1.5, 0.9655172413793104
c.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 71,a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 69, 0.05948968897380476, insert, 1.0, 1.5, 0.9655172413793104
c.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 71,b.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70, 0.05948968897380476, insert, 1.0, 1.5, 0.9655172413793104
c.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 71,d.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 72, 0.05948968897380476, insert, 1.0, 1.5, 0.9655172413793104
d.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 72,a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 69, 0.05948968897380476, insert, 1.0, 1.5, 0.9655172413793104
d.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 72,b.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70, 0.05948968897380476, insert, 1.0, 1.5, 0.9655172413793104
d.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 72,c.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 71, 0.05948968897380476, insert, 1.0, 1.5, 0.9655172413793104
c.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 71,perc.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 75, 0.05732952201062742, insert, 1.0, 1.5, 0.90625
perc.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 75,c.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 71, 0.05732952201062742, insert, 1.0, 1.5, 0.90625
a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 69,perc.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 75, 0.05619052488458847, insert, 1.0, 1.5, 0.875
b.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70,perc.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 75, 0.05619052488458847, insert, 1.0, 1.5, 0.875
d.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 72,perc.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 75, 0.05619052488458847, insert, 1.0, 1.5, 0.875
perc.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 75,a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 69, 0.05619052488458847, insert, 1.0, 1.5, 0.875
perc.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 75,b.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70, 0.05619052488458847, insert, 1.0, 1.5, 0.875
perc.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 75,d.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 72, 0.05619052488458847, insert, 1.0, 1.5, 0.875
output+=(String.format("Thank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 73,output+=(String.format("Student has an %c grade\n" grade.value)); ,EXPRESSION_STATEMENT, line no: 87, 0.0447094338541158, insert, 1.0, 1.0, 0.56
output+=(String.format("Student has an %c grade\n" grade.value)); ,EXPRESSION_STATEMENT, line no: 87,output+=(String.format("Thank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 73, 0.0447094338541158, insert, 1.0, 0.3333333333333333, 0.56
output+=(String.format("Thank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 73,output+=(String.format("Enter thresholds for A  B  C  D\nin that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 66, 0.04395188909891498, insert, 1.0, 1.0, 0.5392156862745098
output+=(String.format("Student has an %c grade\n" grade.value)); ,EXPRESSION_STATEMENT, line no: 87,output+=(String.format("Enter thresholds for A  B  C  D\nin that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 66, 0.040735897213628525, insert, 1.0, 0.3333333333333333, 0.45098039215686275
output+=(String.format("Enter thresholds for A  B  C  D\nin that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 66,output+=(String.format("Enter thresholds for A  B  C  D\nin that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 66, 0.04049767559249619, insert, 1.0, 1.0, 1.0
perc.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 75,output+=(String.format("Student has an %c grade\n" grade.value)); ,EXPRESSION_STATEMENT, line no: 87, 0.033134461848405974, insert, 1.0, 0.0, 0.24242424242424243
output+=(String.format("Student has an %c grade\n" grade.value)); ,EXPRESSION_STATEMENT, line no: 87,perc.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 75, 0.033134461848405974, insert, 1.0, 0.0, 0.24242424242424243
output+=(String.format("Thank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 73,perc.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 75, 0.03207415906925699, insert, 1.0, 0.0, 0.21333333333333335
perc.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 75,output+=(String.format("Thank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 73, 0.03207415906925699, insert, 1.0, 0.0, 0.21333333333333335
a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 69,output+=(String.format("Student has an %c grade\n" grade.value)); ,EXPRESSION_STATEMENT, line no: 87, 0.032029979786792444, insert, 1.0, 0.0, 0.21212121212121213
b.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70,output+=(String.format("Student has an %c grade\n" grade.value)); ,EXPRESSION_STATEMENT, line no: 87, 0.032029979786792444, insert, 1.0, 0.0, 0.21212121212121213
c.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 71,output+=(String.format("Student has an %c grade\n" grade.value)); ,EXPRESSION_STATEMENT, line no: 87, 0.032029979786792444, insert, 1.0, 0.0, 0.21212121212121213
d.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 72,output+=(String.format("Student has an %c grade\n" grade.value)); ,EXPRESSION_STATEMENT, line no: 87, 0.032029979786792444, insert, 1.0, 0.0, 0.21212121212121213
output+=(String.format("Student has an %c grade\n" grade.value)); ,EXPRESSION_STATEMENT, line no: 87,a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 69, 0.032029979786792444, insert, 1.0, 0.0, 0.21212121212121213
output+=(String.format("Student has an %c grade\n" grade.value)); ,EXPRESSION_STATEMENT, line no: 87,b.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70, 0.032029979786792444, insert, 1.0, 0.0, 0.21212121212121213
output+=(String.format("Student has an %c grade\n" grade.value)); ,EXPRESSION_STATEMENT, line no: 87,c.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 71, 0.032029979786792444, insert, 1.0, 0.0, 0.21212121212121213
output+=(String.format("Student has an %c grade\n" grade.value)); ,EXPRESSION_STATEMENT, line no: 87,d.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 72, 0.032029979786792444, insert, 1.0, 0.0, 0.21212121212121213
a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 69,output+=(String.format("Thank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 73, 0.031102214855037075, insert, 1.0, 0.0, 0.18666666666666668
b.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70,output+=(String.format("Thank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 73, 0.031102214855037075, insert, 1.0, 0.0, 0.18666666666666668
c.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 71,output+=(String.format("Thank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 73, 0.031102214855037075, insert, 1.0, 0.0, 0.18666666666666668
d.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 72,output+=(String.format("Thank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 73, 0.031102214855037075, insert, 1.0, 0.0, 0.18666666666666668
output+=(String.format("Thank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 73,a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 69, 0.031102214855037075, insert, 1.0, 0.0, 0.18666666666666668
output+=(String.format("Thank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 73,b.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70, 0.031102214855037075, insert, 1.0, 0.0, 0.18666666666666668
