output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62, 0.038419468444469085, insert, 1.0, 1.0, 1.0
output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.038419468444469085, insert, 1.0, 1.0, 1.0
A.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 64,A.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 64, 0.038419468444469085, insert, 1.0, 3.0, 1.0
B.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65,B.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65, 0.038419468444469085, insert, 1.0, 3.0, 1.0
C.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66,C.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66, 0.038419468444469085, insert, 1.0, 3.0, 1.0
D.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,D.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67, 0.038419468444469085, insert, 1.0, 3.0, 1.0
output+=(String.format("\nThank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 68,output+=(String.format("\nThank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 68, 0.038419468444469085, insert, 1.0, 1.0, 1.0
score.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 70,score.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 70, 0.038419468444469085, insert, 1.0, 3.0, 1.0
A.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 64,B.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65, 0.0376510790755797, insert, 1.0, 1.5, 0.9666666666666667
A.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 64,C.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66, 0.0376510790755797, insert, 1.0, 1.5, 0.9666666666666667
A.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 64,D.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67, 0.0376510790755797, insert, 1.0, 1.5, 0.9666666666666667
B.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65,A.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 64, 0.0376510790755797, insert, 1.0, 1.5, 0.9666666666666667
B.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65,C.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66, 0.0376510790755797, insert, 1.0, 1.5, 0.9666666666666667
B.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65,D.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67, 0.0376510790755797, insert, 1.0, 1.5, 0.9666666666666667
C.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66,A.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 64, 0.0376510790755797, insert, 1.0, 1.5, 0.9666666666666667
C.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66,B.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65, 0.0376510790755797, insert, 1.0, 1.5, 0.9666666666666667
C.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66,D.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67, 0.0376510790755797, insert, 1.0, 1.5, 0.9666666666666667
D.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,A.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 64, 0.0376510790755797, insert, 1.0, 1.5, 0.9666666666666667
D.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,B.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65, 0.0376510790755797, insert, 1.0, 1.5, 0.9666666666666667
D.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,C.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66, 0.0376510790755797, insert, 1.0, 1.5, 0.9666666666666667
A.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 64,score.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 70, 0.035029515346427696, insert, 1.0, 1.5, 0.8529411764705882
B.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65,score.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 70, 0.035029515346427696, insert, 1.0, 1.5, 0.8529411764705882
C.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66,score.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 70, 0.035029515346427696, insert, 1.0, 1.5, 0.8529411764705882
D.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,score.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 70, 0.035029515346427696, insert, 1.0, 1.5, 0.8529411764705882
score.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 70,A.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 64, 0.035029515346427696, insert, 1.0, 1.5, 0.8529411764705882
score.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 70,B.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65, 0.035029515346427696, insert, 1.0, 1.5, 0.8529411764705882
score.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 70,C.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66, 0.035029515346427696, insert, 1.0, 1.5, 0.8529411764705882
score.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 70,D.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67, 0.035029515346427696, insert, 1.0, 1.5, 0.8529411764705882
output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("\nThank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 68, 0.030935156409832253, insert, 1.0, 1.0, 0.6753246753246753
output+=(String.format("\nThank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 68,output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.030935156409832253, insert, 1.0, 1.0, 0.6753246753246753
output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.029065163084076615, insert, 1.0, 1.0, 0.5942028985507246
output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62, 0.029065163084076615, insert, 1.0, 1.0, 0.5942028985507246
output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("\nThank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 68, 0.02764205911459204, insert, 1.0, 1.0, 0.5324675324675324
output+=(String.format("\nThank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 68,output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62, 0.02764205911459204, insert, 1.0, 1.0, 0.5324675324675324
output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63,score.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 70, 0.02071310472658333, insert, 1.0, 0.0, 0.2318840579710145
score.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 70,output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.02071310472658333, insert, 1.0, 0.0, 0.2318840579710145
output+=(String.format("\nThank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 68,score.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 70, 0.020457119561340685, insert, 1.0, 0.0, 0.22077922077922077
score.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 70,output+=(String.format("\nThank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 68, 0.020457119561340685, insert, 1.0, 0.0, 0.22077922077922077
output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62,score.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 70, 0.0202012043756402, insert, 1.0, 0.0, 0.20967741935483872
score.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 70,output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62, 0.0202012043756402, insert, 1.0, 0.0, 0.20967741935483872
output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63,A.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 64, 0.02004494005798387, insert, 1.0, 0.0, 0.2028985507246377
output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63,B.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65, 0.02004494005798387, insert, 1.0, 0.0, 0.2028985507246377
output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63,C.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66, 0.02004494005798387, insert, 1.0, 0.0, 0.2028985507246377
output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63,D.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67, 0.02004494005798387, insert, 1.0, 0.0, 0.2028985507246377
A.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.02004494005798387, insert, 1.0, 0.0, 0.2028985507246377
B.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.02004494005798387, insert, 1.0, 0.0, 0.2028985507246377
C.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66,output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.02004494005798387, insert, 1.0, 0.0, 0.2028985507246377
D.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.02004494005798387, insert, 1.0, 0.0, 0.2028985507246377
A.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("\nThank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 68, 0.019858374598569737, insert, 1.0, 0.0, 0.19480519480519481
