String,SIMPLE_NAME, line no: 80,String,SIMPLE_NAME, line no: 49, 0.0313, insert, 0.625, 0.0, 1.0
format,SIMPLE_NAME, line no: 80,format,SIMPLE_NAME, line no: 62, 0.0313, insert, 1.0, 0.0, 1.0
output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62, 0.027166666666666665, insert, 1.0, 1.0, 1.0
output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.027166666666666665, insert, 1.0, 1.0, 1.0
a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64,a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64, 0.027166666666666665, insert, 1.0, 3.0, 1.0
b.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65,b.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65, 0.027166666666666665, insert, 1.0, 3.0, 1.0
c.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66,c.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66, 0.027166666666666665, insert, 1.0, 3.0, 1.0
d.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67,d.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67, 0.027166666666666665, insert, 1.0, 3.0, 1.0
output+=(String.format("Thank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 68,output+=(String.format("Thank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 68, 0.027166666666666665, insert, 1.0, 1.0, 1.0
grade.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70,grade.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70, 0.027166666666666665, insert, 1.0, 3.0, 1.0
a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64,b.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65, 0.026604597701149427, insert, 1.0, 1.5, 0.9655172413793104
a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64,c.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66, 0.026604597701149427, insert, 1.0, 1.5, 0.9655172413793104
a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64,d.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67, 0.026604597701149427, insert, 1.0, 1.5, 0.9655172413793104
b.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65,a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64, 0.026604597701149427, insert, 1.0, 1.5, 0.9655172413793104
