String,SIMPLE_NAME, line no: 85,String,SIMPLE_NAME, line no: 49, 0.0313, insert, 0.7692307692307693, 0.0, 1.0
format,SIMPLE_NAME, line no: 85,format,SIMPLE_NAME, line no: 63, 0.0313, insert, 1.0, 0.0, 1.0
a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65,a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65, 0.027166666666666665, insert, 1.0, 3.0, 1.0
b.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66,b.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66, 0.027166666666666665, insert, 1.0, 3.0, 1.0
c.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67,c.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67, 0.027166666666666665, insert, 1.0, 3.0, 1.0
d.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 68,d.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 68, 0.027166666666666665, insert, 1.0, 3.0, 1.0
output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 69,output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 69, 0.027166666666666665, insert, 1.0, 1.0, 1.0
p.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 71,p.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 71, 0.027166666666666665, insert, 1.0, 3.0, 1.0
output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 87,output+=(String.format("\n")); ,EXPRESSION_STATEMENT, line no: 87, 0.027166666666666665, insert, 1.0, 1.0, 1.0
a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65,b.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66, 0.026604597701149427, insert, 1.0, 1.5, 0.9655172413793104
a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65,c.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67, 0.026604597701149427, insert, 1.0, 1.5, 0.9655172413793104
a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65,d.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 68, 0.026604597701149427, insert, 1.0, 1.5, 0.9655172413793104
a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65,p.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 71, 0.026604597701149427, insert, 1.0, 1.5, 0.9655172413793104
b.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66,a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65, 0.026604597701149427, insert, 1.0, 1.5, 0.9655172413793104
b.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66,c.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67, 0.026604597701149427, insert, 1.0, 1.5, 0.9655172413793104
b.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66,d.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 68, 0.026604597701149427, insert, 1.0, 1.5, 0.9655172413793104
b.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66,p.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 71, 0.026604597701149427, insert, 1.0, 1.5, 0.9655172413793104
c.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67,a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65, 0.026604597701149427, insert, 1.0, 1.5, 0.9655172413793104
c.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67,b.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66, 0.026604597701149427, insert, 1.0, 1.5, 0.9655172413793104
c.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67,d.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 68, 0.026604597701149427, insert, 1.0, 1.5, 0.9655172413793104
c.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67,p.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 71, 0.026604597701149427, insert, 1.0, 1.5, 0.9655172413793104
d.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 68,a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65, 0.026604597701149427, insert, 1.0, 1.5, 0.9655172413793104
d.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 68,b.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66, 0.026604597701149427, insert, 1.0, 1.5, 0.9655172413793104
d.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 68,c.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67, 0.026604597701149427, insert, 1.0, 1.5, 0.9655172413793104
d.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 68,p.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 71, 0.026604597701149427, insert, 1.0, 1.5, 0.9655172413793104
p.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 71,a.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65, 0.026604597701149427, insert, 1.0, 1.5, 0.9655172413793104
p.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 71,b.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66, 0.026604597701149427, insert, 1.0, 1.5, 0.9655172413793104
