a.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,a.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67, 0.027166666666666665, insert, 1.0, 3.0, 1.0
b.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68,b.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68, 0.027166666666666665, insert, 1.0, 3.0, 1.0
c.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 69,c.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 69, 0.027166666666666665, insert, 1.0, 3.0, 1.0
d.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 70,d.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 70, 0.027166666666666665, insert, 1.0, 3.0, 1.0
output+=(String.format("Thank you.  Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 71,output+=(String.format("Thank you.  Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 71, 0.027166666666666665, insert, 1.0, 1.0, 1.0
score.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 73,score.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 73, 0.027166666666666665, insert, 1.0, 3.0, 1.0
output+=(String.format("Student has an %c grade\n" grade.value)); ,EXPRESSION_STATEMENT, line no: 85,output+=(String.format("Student has an %c grade\n" grade.value)); ,EXPRESSION_STATEMENT, line no: 85, 0.027166666666666665, insert, 1.0, 3.0, 1.0
a.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,b.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68, 0.026623333333333332, insert, 1.0, 1.5, 0.9666666666666667
a.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,c.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 69, 0.026623333333333332, insert, 1.0, 1.5, 0.9666666666666667
a.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,d.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 70, 0.026623333333333332, insert, 1.0, 1.5, 0.9666666666666667
b.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68,a.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67, 0.026623333333333332, insert, 1.0, 1.5, 0.9666666666666667
b.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68,c.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 69, 0.026623333333333332, insert, 1.0, 1.5, 0.9666666666666667
