output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62, 0.0470540469389545, insert, 1.0, 1.0, 1.0
output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.0470540469389545, insert, 1.0, 1.0, 1.0
per1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64,per1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64, 0.0470540469389545, insert, 1.0, 3.0, 1.0
per2.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65,per2.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65, 0.0470540469389545, insert, 1.0, 3.0, 1.0
per3.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66,per3.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66, 0.0470540469389545, insert, 1.0, 3.0, 1.0
per4.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67,per4.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67, 0.0470540469389545, insert, 1.0, 3.0, 1.0
output+=(String.format("Thank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 68,output+=(String.format("Thank you. Now enter student score (percent) >")); ,EXPRESSION_STATEMENT, line no: 68, 0.0470540469389545, insert, 1.0, 1.0, 1.0
grade.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70,grade.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70, 0.0470540469389545, insert, 1.0, 3.0, 1.0
per1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64,per2.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65, 0.0461717835588491, insert, 1.0, 1.5, 0.96875
per1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64,per3.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66, 0.0461717835588491, insert, 1.0, 1.5, 0.96875
per1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64,per4.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67, 0.0461717835588491, insert, 1.0, 1.5, 0.96875
per2.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65,per1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64, 0.0461717835588491, insert, 1.0, 1.5, 0.96875
per2.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65,per3.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66, 0.0461717835588491, insert, 1.0, 1.5, 0.96875
per2.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65,per4.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67, 0.0461717835588491, insert, 1.0, 1.5, 0.96875
per3.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66,per1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64, 0.0461717835588491, insert, 1.0, 1.5, 0.96875
per3.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66,per2.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65, 0.0461717835588491, insert, 1.0, 1.5, 0.96875
