output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62, 0.07187624395058805, insert, 1.0, 1.0, 1.0
output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.07187624395058805, insert, 1.0, 1.0, 1.0
grade1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64,grade1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64, 0.07187624395058805, insert, 1.0, 3.0, 1.0
grade2.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65,grade2.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65, 0.07187624395058805, insert, 1.0, 3.0, 1.0
grade3.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66,grade3.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66, 0.07187624395058805, insert, 1.0, 3.0, 1.0
grade4.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67,grade4.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67, 0.07187624395058805, insert, 1.0, 3.0, 1.0
output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68,output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68, 0.07187624395058805, insert, 1.0, 1.0, 1.0
score.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70,score.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70, 0.07187624395058805, insert, 1.0, 3.0, 1.0
grade1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64,grade2.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65, 0.07060783964557767, insert, 1.0, 1.5, 0.9705882352941176
grade1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64,grade3.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66, 0.07060783964557767, insert, 1.0, 1.5, 0.9705882352941176
grade1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64,grade4.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67, 0.07060783964557767, insert, 1.0, 1.5, 0.9705882352941176
grade2.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65,grade1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64, 0.07060783964557767, insert, 1.0, 1.5, 0.9705882352941176
grade2.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65,grade3.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66, 0.07060783964557767, insert, 1.0, 1.5, 0.9705882352941176
grade2.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65,grade4.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67, 0.07060783964557767, insert, 1.0, 1.5, 0.9705882352941176
grade3.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66,grade1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64, 0.07060783964557767, insert, 1.0, 1.5, 0.9705882352941176
grade3.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66,grade2.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65, 0.07060783964557767, insert, 1.0, 1.5, 0.9705882352941176
grade3.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66,grade4.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67, 0.07060783964557767, insert, 1.0, 1.5, 0.9705882352941176
grade4.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67,grade1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64, 0.07060783964557767, insert, 1.0, 1.5, 0.9705882352941176
grade4.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67,grade2.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65, 0.07060783964557767, insert, 1.0, 1.5, 0.9705882352941176
grade4.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67,grade3.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66, 0.07060783964557767, insert, 1.0, 1.5, 0.9705882352941176
grade1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64,score.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70, 0.06680262673054654, insert, 1.0, 1.5, 0.8823529411764706
grade2.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65,score.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70, 0.06680262673054654, insert, 1.0, 1.5, 0.8823529411764706
grade3.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66,score.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70, 0.06680262673054654, insert, 1.0, 1.5, 0.8823529411764706
grade4.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67,score.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70, 0.06680262673054654, insert, 1.0, 1.5, 0.8823529411764706
score.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70,grade1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64, 0.06680262673054654, insert, 1.0, 1.5, 0.8823529411764706
score.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70,grade2.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65, 0.06680262673054654, insert, 1.0, 1.5, 0.8823529411764706
score.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70,grade3.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66, 0.06680262673054654, insert, 1.0, 1.5, 0.8823529411764706
score.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70,grade4.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67, 0.06680262673054654, insert, 1.0, 1.5, 0.8823529411764706
output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68, 0.05825758720205558, insert, 1.0, 1.0, 0.6842105263157895
output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68,output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.05825758720205558, insert, 1.0, 1.0, 0.6842105263157895
output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.054375941075662265, insert, 1.0, 1.0, 0.5942028985507246
output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62, 0.054375941075662265, insert, 1.0, 1.0, 0.5942028985507246
output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68, 0.05258314689016705, insert, 1.0, 1.0, 0.5526315789473685
output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68,output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62, 0.05258314689016705, insert, 1.0, 1.0, 0.5526315789473685
output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63,grade1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64, 0.03937568146858302, insert, 1.0, 0.0, 0.2463768115942029
output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63,grade2.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65, 0.03937568146858302, insert, 1.0, 0.0, 0.2463768115942029
output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63,grade3.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66, 0.03937568146858302, insert, 1.0, 0.0, 0.2463768115942029
output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63,grade4.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67, 0.03937568146858302, insert, 1.0, 0.0, 0.2463768115942029
grade1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.03937568146858302, insert, 1.0, 0.0, 0.2463768115942029
grade2.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.03937568146858302, insert, 1.0, 0.0, 0.2463768115942029
grade3.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66,output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.03937568146858302, insert, 1.0, 0.0, 0.2463768115942029
grade4.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67,output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.03937568146858302, insert, 1.0, 0.0, 0.2463768115942029
output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63,score.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70, 0.03875067065162138, insert, 1.0, 0.0, 0.2318840579710145
score.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70,output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.03875067065162138, insert, 1.0, 0.0, 0.2318840579710145
grade1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68, 0.03782960207925686, insert, 1.0, 0.0, 0.21052631578947367
grade2.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68, 0.03782960207925686, insert, 1.0, 0.0, 0.21052631578947367
grade3.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66,output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68, 0.03782960207925686, insert, 1.0, 0.0, 0.21052631578947367
grade4.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67,output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68, 0.03782960207925686, insert, 1.0, 0.0, 0.21052631578947367
output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68,grade1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64, 0.03782960207925686, insert, 1.0, 0.0, 0.21052631578947367
output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68,grade2.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65, 0.03782960207925686, insert, 1.0, 0.0, 0.21052631578947367
output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68,grade3.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66, 0.03782960207925686, insert, 1.0, 0.0, 0.21052631578947367
output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68,grade4.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67, 0.03782960207925686, insert, 1.0, 0.0, 0.21052631578947367
output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68,score.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70, 0.03782960207925686, insert, 1.0, 0.0, 0.21052631578947367
score.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70,output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68, 0.03782960207925686, insert, 1.0, 0.0, 0.21052631578947367
output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62,score.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70, 0.03779299278692211, insert, 1.0, 0.0, 0.20967741935483872
score.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 70,output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62, 0.03779299278692211, insert, 1.0, 0.0, 0.20967741935483872
output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62,grade1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64, 0.03709741623256157, insert, 1.0, 0.0, 0.1935483870967742
output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62,grade2.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65, 0.03709741623256157, insert, 1.0, 0.0, 0.1935483870967742
output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62,grade3.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66, 0.03709741623256157, insert, 1.0, 0.0, 0.1935483870967742
output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62,grade4.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67, 0.03709741623256157, insert, 1.0, 0.0, 0.1935483870967742
grade1.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62, 0.03709741623256157, insert, 1.0, 0.0, 0.1935483870967742
grade2.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62, 0.03709741623256157, insert, 1.0, 0.0, 0.1935483870967742
grade3.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66,output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62, 0.03709741623256157, insert, 1.0, 0.0, 0.1935483870967742
grade4.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67,output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62, 0.03709741623256157, insert, 1.0, 0.0, 0.1935483870967742
