output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.0815, insert, 1.0, 1.0, 1.0
frst.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,frst.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.0815, insert, 1.0, 3.0, 1.0
scnd.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,scnd.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.0815, insert, 1.0, 3.0, 1.0
thrd.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,thrd.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.0815, insert, 1.0, 3.0, 1.0
output+=(String.format("%d is lesser of first 2\n%d is lesser of second 2\n" cmp1.value cmp2.value)); ,EXPRESSION_STATEMENT, line no: 83,output+=(String.format("%d is lesser of first 2\n%d is lesser of second 2\n" cmp1.value cmp2.value)); ,EXPRESSION_STATEMENT, line no: 83, 0.0815, insert, 1.0, 4.0, 1.0
output+=(String.format("%d is the median\n" med.value)); ,EXPRESSION_STATEMENT, line no: 86,output+=(String.format("%d is the median\n" med.value)); ,EXPRESSION_STATEMENT, line no: 86, 0.0815, insert, 1.0, 3.0, 1.0
frst.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,scnd.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.07661000000000001, insert, 1.0, 1.5, 0.9
frst.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,thrd.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.07661000000000001, insert, 1.0, 1.5, 0.9
scnd.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,frst.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.07661000000000001, insert, 1.0, 1.5, 0.9
scnd.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,thrd.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.07661000000000001, insert, 1.0, 1.5, 0.9
thrd.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,frst.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.07661000000000001, insert, 1.0, 1.5, 0.9
thrd.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,scnd.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.07661000000000001, insert, 1.0, 1.5, 0.9
output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("%d is the median\n" med.value)); ,EXPRESSION_STATEMENT, line no: 86, 0.05903243243243244, insert, 1.0, 1.0, 0.5405405405405406
output+=(String.format("%d is the median\n" med.value)); ,EXPRESSION_STATEMENT, line no: 86,output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.05903243243243244, insert, 1.0, 0.3333333333333333, 0.5405405405405406
output+=(String.format("%d is lesser of first 2\n%d is lesser of second 2\n" cmp1.value cmp2.value)); ,EXPRESSION_STATEMENT, line no: 83,output+=(String.format("%d is the median\n" med.value)); ,EXPRESSION_STATEMENT, line no: 86, 0.05705, insert, 1.0, 1.2000000000000002, 0.5
output+=(String.format("%d is the median\n" med.value)); ,EXPRESSION_STATEMENT, line no: 86,output+=(String.format("%d is lesser of first 2\n%d is lesser of second 2\n" cmp1.value cmp2.value)); ,EXPRESSION_STATEMENT, line no: 83, 0.05705, insert, 1.0, 1.6, 0.5
output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("%d is lesser of first 2\n%d is lesser of second 2\n" cmp1.value cmp2.value)); ,EXPRESSION_STATEMENT, line no: 83, 0.055611764705882354, insert, 1.0, 1.0, 0.47058823529411764
output+=(String.format("%d is lesser of first 2\n%d is lesser of second 2\n" cmp1.value cmp2.value)); ,EXPRESSION_STATEMENT, line no: 83,output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.055611764705882354, insert, 1.0, 0.25, 0.47058823529411764
frst.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("%d is the median\n" med.value)); ,EXPRESSION_STATEMENT, line no: 86, 0.044610526315789475, insert, 1.0, 0.6000000000000001, 0.24561403508771928
thrd.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,output+=(String.format("%d is the median\n" med.value)); ,EXPRESSION_STATEMENT, line no: 86, 0.044610526315789475, insert, 1.0, 0.6000000000000001, 0.24561403508771928
output+=(String.format("%d is the median\n" med.value)); ,EXPRESSION_STATEMENT, line no: 86,frst.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.044610526315789475, insert, 1.0, 0.6000000000000001, 0.24561403508771928
output+=(String.format("%d is the median\n" med.value)); ,EXPRESSION_STATEMENT, line no: 86,thrd.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.044610526315789475, insert, 1.0, 0.6000000000000001, 0.24561403508771928
scnd.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,output+=(String.format("%d is the median\n" med.value)); ,EXPRESSION_STATEMENT, line no: 86, 0.04375263157894737, insert, 1.0, 0.6000000000000001, 0.22807017543859648
output+=(String.format("%d is the median\n" med.value)); ,EXPRESSION_STATEMENT, line no: 86,scnd.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.04375263157894737, insert, 1.0, 0.6000000000000001, 0.22807017543859648
output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63,thrd.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.04317297297297298, insert, 1.0, 0.0, 0.21621621621621623
thrd.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.04317297297297298, insert, 1.0, 0.0, 0.21621621621621623
output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63,frst.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.042512162162162165, insert, 1.0, 0.0, 0.20270270270270271
output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63,scnd.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.042512162162162165, insert, 1.0, 0.0, 0.20270270270270271
frst.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.042512162162162165, insert, 1.0, 0.0, 0.20270270270270271
scnd.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.042512162162162165, insert, 1.0, 0.0, 0.20270270270270271
frst.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("%d is lesser of first 2\n%d is lesser of second 2\n" cmp1.value cmp2.value)); ,EXPRESSION_STATEMENT, line no: 83, 0.04027058823529412, insert, 1.0, 0.6666666666666666, 0.1568627450980392
scnd.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,output+=(String.format("%d is lesser of first 2\n%d is lesser of second 2\n" cmp1.value cmp2.value)); ,EXPRESSION_STATEMENT, line no: 83, 0.04027058823529412, insert, 1.0, 0.6666666666666666, 0.1568627450980392
thrd.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,output+=(String.format("%d is lesser of first 2\n%d is lesser of second 2\n" cmp1.value cmp2.value)); ,EXPRESSION_STATEMENT, line no: 83, 0.04027058823529412, insert, 1.0, 0.6666666666666666, 0.1568627450980392
output+=(String.format("%d is lesser of first 2\n%d is lesser of second 2\n" cmp1.value cmp2.value)); ,EXPRESSION_STATEMENT, line no: 83,frst.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.04027058823529412, insert, 1.0, 0.5, 0.1568627450980392
output+=(String.format("%d is lesser of first 2\n%d is lesser of second 2\n" cmp1.value cmp2.value)); ,EXPRESSION_STATEMENT, line no: 83,scnd.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.04027058823529412, insert, 1.0, 0.5, 0.1568627450980392
output+=(String.format("%d is lesser of first 2\n%d is lesser of second 2\n" cmp1.value cmp2.value)); ,EXPRESSION_STATEMENT, line no: 83,thrd.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.04027058823529412, insert, 1.0, 0.5, 0.1568627450980392
String,SIMPLE_NAME, line no: 64,String,SIMPLE_NAME, line no: 49, 0.0313, insert, 0.3248407643312102, 0.0, 1.0
format,SIMPLE_NAME, line no: 64,format,SIMPLE_NAME, line no: 64, 0.0313, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 65,scanner,SIMPLE_NAME, line no: 51, 0.0313, insert, 0.10256410256410256, 1.0, 1.0
nextInt,SIMPLE_NAME, line no: 65,nextInt,SIMPLE_NAME, line no: 65, 0.0313, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 66,scanner,SIMPLE_NAME, line no: 51, 0.0313, insert, 0.10256410256410256, 1.0, 1.0
nextInt,SIMPLE_NAME, line no: 66,nextInt,SIMPLE_NAME, line no: 65, 0.0313, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 67,scanner,SIMPLE_NAME, line no: 51, 0.0313, insert, 0.10256410256410256, 1.0, 1.0
nextInt,SIMPLE_NAME, line no: 67,nextInt,SIMPLE_NAME, line no: 65, 0.0313, insert, 1.0, 0.0, 1.0
String,SIMPLE_NAME, line no: 84,String,SIMPLE_NAME, line no: 49, 0.0313, insert, 0.3248407643312102, 0.0, 1.0
format,SIMPLE_NAME, line no: 84,format,SIMPLE_NAME, line no: 64, 0.0313, insert, 1.0, 0.0, 1.0
cmp1,SIMPLE_NAME, line no: 85,cmp1,SIMPLE_NAME, line no: 61, 0.0313, insert, 0.9683544303797469, 1.0, 1.0
