output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.0391513336053438, insert, 1.0, 1.0, 1.0
a.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,a.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64, 0.0391513336053438, insert, 1.0, 3.0, 1.0
b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.0391513336053438, insert, 1.0, 3.0, 1.0
c.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,c.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.0391513336053438, insert, 1.0, 3.0, 1.0
output+=(String.format("%d is the median\n" m.value)); ,EXPRESSION_STATEMENT, line no: 85,output+=(String.format("%d is the median\n" m.value)); ,EXPRESSION_STATEMENT, line no: 85, 0.0391513336053438, insert, 1.0, 3.0, 1.0
a.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.03828130396966949, insert, 1.0, 1.5, 0.9629629629629629
a.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,c.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.03828130396966949, insert, 1.0, 1.5, 0.9629629629629629
b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,a.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64, 0.03828130396966949, insert, 1.0, 1.5, 0.9629629629629629
b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,c.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.03828130396966949, insert, 1.0, 1.5, 0.9629629629629629
c.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,a.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64, 0.03828130396966949, insert, 1.0, 1.5, 0.9629629629629629
c.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.03828130396966949, insert, 1.0, 1.5, 0.9629629629629629
output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("%d is the median\n" m.value)); ,EXPRESSION_STATEMENT, line no: 85, 0.027723376769189394, insert, 1.0, 1.0, 0.5135135135135135
output+=(String.format("%d is the median\n" m.value)); ,EXPRESSION_STATEMENT, line no: 85,output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.027723376769189394, insert, 1.0, 0.3333333333333333, 0.5135135135135135
a.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("%d is the median\n" m.value)); ,EXPRESSION_STATEMENT, line no: 85, 0.020358693474778776, insert, 1.0, 0.6000000000000001, 0.2
b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("%d is the median\n" m.value)); ,EXPRESSION_STATEMENT, line no: 85, 0.020358693474778776, insert, 1.0, 0.6000000000000001, 0.2
c.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,output+=(String.format("%d is the median\n" m.value)); ,EXPRESSION_STATEMENT, line no: 85, 0.020358693474778776, insert, 1.0, 0.6000000000000001, 0.2
output+=(String.format("%d is the median\n" m.value)); ,EXPRESSION_STATEMENT, line no: 85,a.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64, 0.020358693474778776, insert, 1.0, 0.6000000000000001, 0.2
output+=(String.format("%d is the median\n" m.value)); ,EXPRESSION_STATEMENT, line no: 85,b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.020358693474778776, insert, 1.0, 0.6000000000000001, 0.2
output+=(String.format("%d is the median\n" m.value)); ,EXPRESSION_STATEMENT, line no: 85,c.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.020358693474778776, insert, 1.0, 0.6000000000000001, 0.2
output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62,a.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64, 0.020104738878419792, insert, 1.0, 0.0, 0.1891891891891892
output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62,b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.020104738878419792, insert, 1.0, 0.0, 0.1891891891891892
output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62,c.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.020104738878419792, insert, 1.0, 0.0, 0.1891891891891892
a.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.020104738878419792, insert, 1.0, 0.0, 0.1891891891891892
b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.020104738878419792, insert, 1.0, 0.0, 0.1891891891891892
c.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.020104738878419792, insert, 1.0, 0.0, 0.1891891891891892
String,SIMPLE_NAME, line no: 63,String,SIMPLE_NAME, line no: 49, 0.015036033642297681, insert, 0.19391634980988592, 0.0, 1.0
format,SIMPLE_NAME, line no: 63,format,SIMPLE_NAME, line no: 63, 0.015036033642297681, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 64,scanner,SIMPLE_NAME, line no: 51, 0.015036033642297681, insert, 0.061068702290076333, 1.0, 1.0
nextInt,SIMPLE_NAME, line no: 64,nextInt,SIMPLE_NAME, line no: 64, 0.015036033642297681, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 65,scanner,SIMPLE_NAME, line no: 51, 0.015036033642297681, insert, 0.061068702290076333, 1.0, 1.0
nextInt,SIMPLE_NAME, line no: 65,nextInt,SIMPLE_NAME, line no: 64, 0.015036033642297681, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 66,scanner,SIMPLE_NAME, line no: 51, 0.015036033642297681, insert, 0.061068702290076333, 1.0, 1.0
nextInt,SIMPLE_NAME, line no: 66,nextInt,SIMPLE_NAME, line no: 64, 0.015036033642297681, insert, 1.0, 0.0, 1.0
String,SIMPLE_NAME, line no: 85,String,SIMPLE_NAME, line no: 49, 0.015036033642297681, insert, 0.19391634980988592, 0.0, 1.0
format,SIMPLE_NAME, line no: 85,format,SIMPLE_NAME, line no: 63, 0.015036033642297681, insert, 1.0, 0.0, 1.0
m,SIMPLE_NAME, line no: 85,m,SIMPLE_NAME, line no: 60, 0.015036033642297681, insert, 0.9810606060606061, 1.0, 1.0
value,SIMPLE_NAME, line no: 85,value,SIMPLE_NAME, line no: 7, 0.015036033642297681, insert, 0.022727272727272728, 1.0, 1.0
m.value,QUALIFIED_NAME, line no: 85,value,SIMPLE_NAME, line no: 7, 0.012458427875046649, insert, 0.022813688212927757, 0.5, 0.7142857142857143
a.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.011784030741102193, insert, 0.1969111969111969, 0.0, 0.37037037037037035
b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.011784030741102193, insert, 0.1969111969111969, 0.0, 0.37037037037037035
c.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.011784030741102193, insert, 0.1969111969111969, 0.0, 0.37037037037037035
a.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,m.value=c.value; ,EXPRESSION_STATEMENT, line no: 72, 0.011286870949288302, insert, 0.04247104247104247, 0.6000000000000001, 0.4444444444444444
b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,m.value=c.value; ,EXPRESSION_STATEMENT, line no: 72, 0.011286870949288302, insert, 0.04247104247104247, 0.6000000000000001, 0.4444444444444444
c.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,m.value=c.value; ,EXPRESSION_STATEMENT, line no: 72, 0.011286870949288302, insert, 0.04247104247104247, 1.5, 0.4444444444444444
a.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,m.value=a.value; ,EXPRESSION_STATEMENT, line no: 68, 0.010984544048860938, insert, 0.03474903474903475, 1.5, 0.4444444444444444
b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,m.value=a.value; ,EXPRESSION_STATEMENT, line no: 68, 0.010984544048860938, insert, 0.03474903474903475, 0.6000000000000001, 0.4444444444444444
