output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.031966930027524, insert, 1.0, 1.0, 1.0
n1.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 64,n1.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 64, 0.031966930027524, insert, 1.0, 3.0, 1.0
n2.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65,n2.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65, 0.031966930027524, insert, 1.0, 3.0, 1.0
n3.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66,n3.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66, 0.031966930027524, insert, 1.0, 3.0, 1.0
output+=(String.format(" %.0f is the median\n" median.value)); ,EXPRESSION_STATEMENT, line no: 78,output+=(String.format(" %.0f is the median\n" median.value)); ,EXPRESSION_STATEMENT, line no: 78, 0.031966930027524, insert, 1.0, 3.0, 1.0
n1.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 64,n2.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65, 0.03134821525279773, insert, 1.0, 1.5, 0.967741935483871
n1.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 64,n3.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66, 0.03134821525279773, insert, 1.0, 1.5, 0.967741935483871
n2.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65,n1.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 64, 0.03134821525279773, insert, 1.0, 1.5, 0.967741935483871
n2.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65,n3.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66, 0.03134821525279773, insert, 1.0, 1.5, 0.967741935483871
n3.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66,n1.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 64, 0.03134821525279773, insert, 1.0, 1.5, 0.967741935483871
n3.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66,n2.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65, 0.03134821525279773, insert, 1.0, 1.5, 0.967741935483871
output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format(" %.0f is the median\n" median.value)); ,EXPRESSION_STATEMENT, line no: 78, 0.02315442499290928, insert, 1.0, 1.0, 0.5405405405405406
output+=(String.format(" %.0f is the median\n" median.value)); ,EXPRESSION_STATEMENT, line no: 78,output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.02315442499290928, insert, 1.0, 0.3333333333333333, 0.5405405405405406
