output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 65, 0.045208065992356175, insert, 1.0, 1.0, 1.0
first.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,first.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67, 0.045208065992356175, insert, 1.0, 3.0, 1.0
second.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68,second.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68, 0.045208065992356175, insert, 1.0, 3.0, 1.0
third.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 69,third.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 69, 0.045208065992356175, insert, 1.0, 3.0, 1.0
median.value=(Math.abs(first.value) + Math.abs(second.value) + Math.abs(third.value)) / 3; ,EXPRESSION_STATEMENT, line no: 70,median.value=(Math.abs(first.value) + Math.abs(second.value) + Math.abs(third.value)) / 3; ,EXPRESSION_STATEMENT, line no: 70, 0.045208065992356175, insert, 1.0, 5.0, 1.0
comp_fir.value=Math.abs(first.value - median.value); ,EXPRESSION_STATEMENT, line no: 73,comp_fir.value=Math.abs(first.value - median.value); ,EXPRESSION_STATEMENT, line no: 73, 0.045208065992356175, insert, 1.0, 4.0, 1.0
comp_sec.value=Math.abs(second.value - median.value); ,EXPRESSION_STATEMENT, line no: 74,comp_sec.value=Math.abs(second.value - median.value); ,EXPRESSION_STATEMENT, line no: 74, 0.045208065992356175, insert, 1.0, 4.0, 1.0
comp_thi.value=Math.abs(third.value - median.value); ,EXPRESSION_STATEMENT, line no: 75,comp_thi.value=Math.abs(third.value - median.value); ,EXPRESSION_STATEMENT, line no: 75, 0.045208065992356175, insert, 1.0, 4.0, 1.0
first.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,third.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 69, 0.04281469779276085, insert, 1.0, 1.5, 0.9117647058823529
third.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 69,first.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67, 0.04281469779276085, insert, 1.0, 1.5, 0.9117647058823529
comp_fir.value=Math.abs(first.value - median.value); ,EXPRESSION_STATEMENT, line no: 73,comp_thi.value=Math.abs(third.value - median.value); ,EXPRESSION_STATEMENT, line no: 75, 0.042649118860713375, insert, 1.0, 1.3333333333333333, 0.9056603773584906
comp_thi.value=Math.abs(third.value - median.value); ,EXPRESSION_STATEMENT, line no: 75,comp_fir.value=Math.abs(first.value - median.value); ,EXPRESSION_STATEMENT, line no: 73, 0.042649118860713375, insert, 1.0, 1.3333333333333333, 0.9056603773584906
first.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,second.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68, 0.041333088907297075, insert, 1.0, 1.5, 0.8571428571428571
second.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68,first.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67, 0.041333088907297075, insert, 1.0, 1.5, 0.8571428571428571
second.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68,third.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 69, 0.041333088907297075, insert, 1.0, 1.5, 0.8571428571428571
third.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 69,second.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68, 0.041333088907297075, insert, 1.0, 1.5, 0.8571428571428571
comp_fir.value=Math.abs(first.value - median.value); ,EXPRESSION_STATEMENT, line no: 73,comp_sec.value=Math.abs(second.value - median.value); ,EXPRESSION_STATEMENT, line no: 74, 0.04118957123748007, insert, 1.0, 1.3333333333333333, 0.8518518518518519
comp_sec.value=Math.abs(second.value - median.value); ,EXPRESSION_STATEMENT, line no: 74,comp_fir.value=Math.abs(first.value - median.value); ,EXPRESSION_STATEMENT, line no: 73, 0.04118957123748007, insert, 1.0, 1.3333333333333333, 0.8518518518518519
comp_sec.value=Math.abs(second.value - median.value); ,EXPRESSION_STATEMENT, line no: 74,comp_thi.value=Math.abs(third.value - median.value); ,EXPRESSION_STATEMENT, line no: 75, 0.04118957123748007, insert, 1.0, 1.3333333333333333, 0.8518518518518519
comp_thi.value=Math.abs(third.value - median.value); ,EXPRESSION_STATEMENT, line no: 75,comp_sec.value=Math.abs(second.value - median.value); ,EXPRESSION_STATEMENT, line no: 74, 0.04118957123748007, insert, 1.0, 1.3333333333333333, 0.8518518518518519
median.value=(Math.abs(first.value) + Math.abs(second.value) + Math.abs(third.value)) / 3; ,EXPRESSION_STATEMENT, line no: 70,comp_fir.value=Math.abs(first.value - median.value); ,EXPRESSION_STATEMENT, line no: 73, 0.03090045829367642, insert, 1.0, 2.0, 0.4725274725274725
comp_fir.value=Math.abs(first.value - median.value); ,EXPRESSION_STATEMENT, line no: 73,median.value=(Math.abs(first.value) + Math.abs(second.value) + Math.abs(third.value)) / 3; ,EXPRESSION_STATEMENT, line no: 70, 0.03090045829367642, insert, 1.0, 2.5, 0.4725274725274725
median.value=(Math.abs(first.value) + Math.abs(second.value) + Math.abs(third.value)) / 3; ,EXPRESSION_STATEMENT, line no: 70,comp_sec.value=Math.abs(second.value - median.value); ,EXPRESSION_STATEMENT, line no: 74, 0.03060238313328726, insert, 1.0, 2.0, 0.46153846153846156
comp_sec.value=Math.abs(second.value - median.value); ,EXPRESSION_STATEMENT, line no: 74,median.value=(Math.abs(first.value) + Math.abs(second.value) + Math.abs(third.value)) / 3; ,EXPRESSION_STATEMENT, line no: 70, 0.03060238313328726, insert, 1.0, 2.5, 0.46153846153846156
median.value=(Math.abs(first.value) + Math.abs(second.value) + Math.abs(third.value)) / 3; ,EXPRESSION_STATEMENT, line no: 70,comp_thi.value=Math.abs(third.value - median.value); ,EXPRESSION_STATEMENT, line no: 75, 0.030006232812508936, insert, 1.0, 2.0, 0.43956043956043955
comp_thi.value=Math.abs(third.value - median.value); ,EXPRESSION_STATEMENT, line no: 75,median.value=(Math.abs(first.value) + Math.abs(second.value) + Math.abs(third.value)) / 3; ,EXPRESSION_STATEMENT, line no: 70, 0.030006232812508936, insert, 1.0, 2.5, 0.43956043956043955
second.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68,comp_sec.value=Math.abs(second.value - median.value); ,EXPRESSION_STATEMENT, line no: 74, 0.02812946328413273, insert, 1.0, 1.6, 0.37037037037037035
comp_sec.value=Math.abs(second.value - median.value); ,EXPRESSION_STATEMENT, line no: 74,second.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68, 0.02812946328413273, insert, 1.0, 1.2000000000000002, 0.37037037037037035
first.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,comp_fir.value=Math.abs(first.value - median.value); ,EXPRESSION_STATEMENT, line no: 73, 0.027807225497185117, insert, 1.0, 1.6, 0.3584905660377358
third.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 69,comp_thi.value=Math.abs(third.value - median.value); ,EXPRESSION_STATEMENT, line no: 75, 0.027807225497185117, insert, 1.0, 1.6, 0.3584905660377358
comp_fir.value=Math.abs(first.value - median.value); ,EXPRESSION_STATEMENT, line no: 73,first.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67, 0.027807225497185117, insert, 1.0, 1.2000000000000002, 0.3584905660377358
comp_thi.value=Math.abs(third.value - median.value); ,EXPRESSION_STATEMENT, line no: 75,third.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 69, 0.027807225497185117, insert, 1.0, 1.2000000000000002, 0.3584905660377358
second.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68,comp_fir.value=Math.abs(first.value - median.value); ,EXPRESSION_STATEMENT, line no: 73, 0.027295436070856556, insert, 1.0, 0.6666666666666666, 0.33962264150943394
second.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68,comp_thi.value=Math.abs(third.value - median.value); ,EXPRESSION_STATEMENT, line no: 75, 0.027295436070856556, insert, 1.0, 0.6666666666666666, 0.33962264150943394
third.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 69,comp_fir.value=Math.abs(first.value - median.value); ,EXPRESSION_STATEMENT, line no: 73, 0.027295436070856556, insert, 1.0, 0.6666666666666666, 0.33962264150943394
comp_fir.value=Math.abs(first.value - median.value); ,EXPRESSION_STATEMENT, line no: 73,second.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68, 0.027295436070856556, insert, 1.0, 0.5, 0.33962264150943394
comp_fir.value=Math.abs(first.value - median.value); ,EXPRESSION_STATEMENT, line no: 73,third.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 69, 0.027295436070856556, insert, 1.0, 0.5, 0.33962264150943394
comp_thi.value=Math.abs(third.value - median.value); ,EXPRESSION_STATEMENT, line no: 75,second.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68, 0.027295436070856556, insert, 1.0, 0.5, 0.33962264150943394
first.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,comp_sec.value=Math.abs(second.value - median.value); ,EXPRESSION_STATEMENT, line no: 74, 0.027124839595413706, insert, 1.0, 0.6666666666666666, 0.3333333333333333
comp_sec.value=Math.abs(second.value - median.value); ,EXPRESSION_STATEMENT, line no: 74,first.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67, 0.027124839595413706, insert, 1.0, 0.5, 0.3333333333333333
first.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,comp_thi.value=Math.abs(third.value - median.value); ,EXPRESSION_STATEMENT, line no: 75, 0.026783646644527998, insert, 1.0, 0.6666666666666666, 0.32075471698113206
comp_thi.value=Math.abs(third.value - median.value); ,EXPRESSION_STATEMENT, line no: 75,first.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67, 0.026783646644527998, insert, 1.0, 0.5, 0.32075471698113206
third.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 69,comp_sec.value=Math.abs(second.value - median.value); ,EXPRESSION_STATEMENT, line no: 74, 0.02662252775105419, insert, 1.0, 0.6666666666666666, 0.3148148148148148
comp_sec.value=Math.abs(second.value - median.value); ,EXPRESSION_STATEMENT, line no: 74,third.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 69, 0.02662252775105419, insert, 1.0, 0.5, 0.3148148148148148
output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 65,comp_sec.value=Math.abs(second.value - median.value); ,EXPRESSION_STATEMENT, line no: 74, 0.026147367898281683, insert, 1.0, 0.0, 0.2972972972972973
output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 65,comp_thi.value=Math.abs(third.value - median.value); ,EXPRESSION_STATEMENT, line no: 75, 0.026147367898281683, insert, 1.0, 0.0, 0.2972972972972973
