median.value=0; ,EXPRESSION_STATEMENT, line no: 62,median.value=0; ,EXPRESSION_STATEMENT, line no: 62, 0.045208065992356175, insert, 1.0, 2.0, 1.0
temp.value=0; ,EXPRESSION_STATEMENT, line no: 63,temp.value=0; ,EXPRESSION_STATEMENT, line no: 63, 0.045208065992356175, insert, 1.0, 2.0, 1.0
output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 64, 0.045208065992356175, insert, 1.0, 1.0, 1.0
a.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,a.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.045208065992356175, insert, 1.0, 3.0, 1.0
b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.045208065992356175, insert, 1.0, 3.0, 1.0
c.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 68,c.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 68, 0.045208065992356175, insert, 1.0, 3.0, 1.0
output+=(String.format("%d is the median\n" median.value)); ,EXPRESSION_STATEMENT, line no: 81,output+=(String.format("%d is the median\n" median.value)); ,EXPRESSION_STATEMENT, line no: 81, 0.045208065992356175, insert, 1.0, 3.0, 1.0
a.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.044203442303637146, insert, 1.0, 1.5, 0.9629629629629629
a.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,c.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 68, 0.044203442303637146, insert, 1.0, 1.5, 0.9629629629629629
b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,a.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.044203442303637146, insert, 1.0, 1.5, 0.9629629629629629
b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,c.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 68, 0.044203442303637146, insert, 1.0, 1.5, 0.9629629629629629
c.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 68,a.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.044203442303637146, insert, 1.0, 1.5, 0.9629629629629629
c.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 68,b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.044203442303637146, insert, 1.0, 1.5, 0.9629629629629629
median.value=0; ,EXPRESSION_STATEMENT, line no: 62,temp.value=0; ,EXPRESSION_STATEMENT, line no: 63, 0.036731553618789395, insert, 1.0, 0.6666666666666666, 0.6875
temp.value=0; ,EXPRESSION_STATEMENT, line no: 63,median.value=0; ,EXPRESSION_STATEMENT, line no: 62, 0.036731553618789395, insert, 1.0, 0.6666666666666666, 0.6875
output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("%d is the median\n" median.value)); ,EXPRESSION_STATEMENT, line no: 81, 0.032745301853922854, insert, 1.0, 1.0, 0.5405405405405406
output+=(String.format("%d is the median\n" median.value)); ,EXPRESSION_STATEMENT, line no: 81,output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 64, 0.032745301853922854, insert, 1.0, 0.3333333333333333, 0.5405405405405406
median.value=0; ,EXPRESSION_STATEMENT, line no: 62,a.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.02812946328413273, insert, 1.0, 0.75, 0.37037037037037035
a.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,median.value=0; ,EXPRESSION_STATEMENT, line no: 62, 0.02812946328413273, insert, 1.0, 0.5, 0.37037037037037035
median.value=0; ,EXPRESSION_STATEMENT, line no: 62,b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.027124839595413706, insert, 1.0, 0.75, 0.3333333333333333
median.value=0; ,EXPRESSION_STATEMENT, line no: 62,c.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 68, 0.027124839595413706, insert, 1.0, 0.75, 0.3333333333333333
temp.value=0; ,EXPRESSION_STATEMENT, line no: 63,a.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.027124839595413706, insert, 1.0, 0.75, 0.3333333333333333
temp.value=0; ,EXPRESSION_STATEMENT, line no: 63,b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.027124839595413706, insert, 1.0, 0.75, 0.3333333333333333
temp.value=0; ,EXPRESSION_STATEMENT, line no: 63,c.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 68, 0.027124839595413706, insert, 1.0, 0.75, 0.3333333333333333
a.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,temp.value=0; ,EXPRESSION_STATEMENT, line no: 63, 0.027124839595413706, insert, 1.0, 0.5, 0.3333333333333333
b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,median.value=0; ,EXPRESSION_STATEMENT, line no: 62, 0.027124839595413706, insert, 1.0, 0.5, 0.3333333333333333
b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,temp.value=0; ,EXPRESSION_STATEMENT, line no: 63, 0.027124839595413706, insert, 1.0, 0.5, 0.3333333333333333
c.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 68,median.value=0; ,EXPRESSION_STATEMENT, line no: 62, 0.027124839595413706, insert, 1.0, 0.5, 0.3333333333333333
c.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 68,temp.value=0; ,EXPRESSION_STATEMENT, line no: 63, 0.027124839595413706, insert, 1.0, 0.5, 0.3333333333333333
median.value=0; ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("%d is the median\n" median.value)); ,EXPRESSION_STATEMENT, line no: 81, 0.024412355635872338, insert, 1.0, 2.0, 0.23333333333333334
output+=(String.format("%d is the median\n" median.value)); ,EXPRESSION_STATEMENT, line no: 81,median.value=0; ,EXPRESSION_STATEMENT, line no: 62, 0.024412355635872338, insert, 1.0, 1.3333333333333333, 0.23333333333333334
a.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,output+=(String.format("%d is the median\n" median.value)); ,EXPRESSION_STATEMENT, line no: 81, 0.023508194316025213, insert, 1.0, 0.6000000000000001, 0.2
b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,output+=(String.format("%d is the median\n" median.value)); ,EXPRESSION_STATEMENT, line no: 81, 0.023508194316025213, insert, 1.0, 0.6000000000000001, 0.2
c.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 68,output+=(String.format("%d is the median\n" median.value)); ,EXPRESSION_STATEMENT, line no: 81, 0.023508194316025213, insert, 1.0, 0.6000000000000001, 0.2
output+=(String.format("%d is the median\n" median.value)); ,EXPRESSION_STATEMENT, line no: 81,a.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.023508194316025213, insert, 1.0, 0.6000000000000001, 0.2
output+=(String.format("%d is the median\n" median.value)); ,EXPRESSION_STATEMENT, line no: 81,b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.023508194316025213, insert, 1.0, 0.6000000000000001, 0.2
output+=(String.format("%d is the median\n" median.value)); ,EXPRESSION_STATEMENT, line no: 81,c.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 68, 0.023508194316025213, insert, 1.0, 0.6000000000000001, 0.2
output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 64,a.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.023214952806885607, insert, 1.0, 0.0, 0.1891891891891892
output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 64,b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.023214952806885607, insert, 1.0, 0.0, 0.1891891891891892
output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 64,c.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 68, 0.023214952806885607, insert, 1.0, 0.0, 0.1891891891891892
a.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 64, 0.023214952806885607, insert, 1.0, 0.0, 0.1891891891891892
b.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 64, 0.023214952806885607, insert, 1.0, 0.0, 0.1891891891891892
c.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 68,output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 64, 0.023214952806885607, insert, 1.0, 0.0, 0.1891891891891892
temp.value=0; ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("%d is the median\n" median.value)); ,EXPRESSION_STATEMENT, line no: 81, 0.02305611365610165, insert, 1.0, 0.75, 0.18333333333333332
output+=(String.format("%d is the median\n" median.value)); ,EXPRESSION_STATEMENT, line no: 81,temp.value=0; ,EXPRESSION_STATEMENT, line no: 63, 0.02305611365610165, insert, 1.0, 0.5, 0.18333333333333332
median.value=0; ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 64, 0.021382193374763058, insert, 1.0, 0.0, 0.12162162162162163
temp.value=0; ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 64, 0.021382193374763058, insert, 1.0, 0.0, 0.12162162162162163
