output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.045208065992356175, insert, 1.0, 1.0, 1.0
num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.045208065992356175, insert, 1.0, 3.0, 1.0
num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.045208065992356175, insert, 1.0, 3.0, 1.0
num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.045208065992356175, insert, 1.0, 3.0, 1.0
output+=(String.format("%d is the median\n" median.value)); ,EXPRESSION_STATEMENT, line no: 82,output+=(String.format("%d is the median\n" median.value)); ,EXPRESSION_STATEMENT, line no: 82, 0.045208065992356175, insert, 1.0, 3.0, 1.0
num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.044303904672509054, insert, 1.0, 1.5, 0.9666666666666667
num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.044303904672509054, insert, 1.0, 1.5, 0.9666666666666667
num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.044303904672509054, insert, 1.0, 1.5, 0.9666666666666667
num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.044303904672509054, insert, 1.0, 1.5, 0.9666666666666667
num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.044303904672509054, insert, 1.0, 1.5, 0.9666666666666667
num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.044303904672509054, insert, 1.0, 1.5, 0.9666666666666667
output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("%d is the median\n" median.value)); ,EXPRESSION_STATEMENT, line no: 82, 0.032745301853922854, insert, 1.0, 1.0, 0.5405405405405406
output+=(String.format("%d is the median\n" median.value)); ,EXPRESSION_STATEMENT, line no: 82,output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.032745301853922854, insert, 1.0, 0.3333333333333333, 0.5405405405405406
num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("%d is the median\n" median.value)); ,EXPRESSION_STATEMENT, line no: 82, 0.023960274975948773, insert, 1.0, 0.6000000000000001, 0.21666666666666667
num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,output+=(String.format("%d is the median\n" median.value)); ,EXPRESSION_STATEMENT, line no: 82, 0.023960274975948773, insert, 1.0, 0.6000000000000001, 0.21666666666666667
num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,output+=(String.format("%d is the median\n" median.value)); ,EXPRESSION_STATEMENT, line no: 82, 0.023960274975948773, insert, 1.0, 0.6000000000000001, 0.21666666666666667
output+=(String.format("%d is the median\n" median.value)); ,EXPRESSION_STATEMENT, line no: 82,num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.023960274975948773, insert, 1.0, 0.6000000000000001, 0.21666666666666667
output+=(String.format("%d is the median\n" median.value)); ,EXPRESSION_STATEMENT, line no: 82,num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.023960274975948773, insert, 1.0, 0.6000000000000001, 0.21666666666666667
output+=(String.format("%d is the median\n" median.value)); ,EXPRESSION_STATEMENT, line no: 82,num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.023960274975948773, insert, 1.0, 0.6000000000000001, 0.21666666666666667
output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63,num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.023581504693310114, insert, 1.0, 0.0, 0.20270270270270271
output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63,num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.023581504693310114, insert, 1.0, 0.0, 0.20270270270270271
output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63,num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.023581504693310114, insert, 1.0, 0.0, 0.20270270270270271
num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("Please enter 3 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.023581504693310114, insert, 1.0, 0.0, 0.20270270270270271
