output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.05762920266670362, insert, 1.0, 1.0, 1.0
A.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,A.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64, 0.05762920266670362, insert, 1.0, 3.0, 1.0
B.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,B.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.05762920266670362, insert, 1.0, 3.0, 1.0
C.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,C.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.05762920266670362, insert, 1.0, 3.0, 1.0
D.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,D.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.05762920266670362, insert, 1.0, 3.0, 1.0
A.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,B.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.05634855371855465, insert, 1.0, 1.5, 0.9629629629629629
A.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,C.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.05634855371855465, insert, 1.0, 1.5, 0.9629629629629629
A.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,D.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.05634855371855465, insert, 1.0, 1.5, 0.9629629629629629
B.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,A.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64, 0.05634855371855465, insert, 1.0, 1.5, 0.9629629629629629
B.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,C.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.05634855371855465, insert, 1.0, 1.5, 0.9629629629629629
B.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,D.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.05634855371855465, insert, 1.0, 1.5, 0.9629629629629629
C.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,A.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64, 0.05634855371855465, insert, 1.0, 1.5, 0.9629629629629629
C.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,B.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.05634855371855465, insert, 1.0, 1.5, 0.9629629629629629
C.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,D.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.05634855371855465, insert, 1.0, 1.5, 0.9629629629629629
D.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,A.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64, 0.05634855371855465, insert, 1.0, 1.5, 0.9629629629629629
D.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,B.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.05634855371855465, insert, 1.0, 1.5, 0.9629629629629629
D.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,C.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.05634855371855465, insert, 1.0, 1.5, 0.9629629629629629
output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62,A.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64, 0.029593374342361322, insert, 1.0, 0.0, 0.1891891891891892
output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62,B.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.029593374342361322, insert, 1.0, 0.0, 0.1891891891891892
output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62,C.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.029593374342361322, insert, 1.0, 0.0, 0.1891891891891892
output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62,D.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.029593374342361322, insert, 1.0, 0.0, 0.1891891891891892
A.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.029593374342361322, insert, 1.0, 0.0, 0.1891891891891892
B.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.029593374342361322, insert, 1.0, 0.0, 0.1891891891891892
C.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.029593374342361322, insert, 1.0, 0.0, 0.1891891891891892
D.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.029593374342361322, insert, 1.0, 0.0, 0.1891891891891892
String,SIMPLE_NAME, line no: 63,String,SIMPLE_NAME, line no: 49, 0.022132442251138938, insert, 0.2383177570093458, 0.0, 1.0
format,SIMPLE_NAME, line no: 63,format,SIMPLE_NAME, line no: 63, 0.022132442251138938, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 64,scanner,SIMPLE_NAME, line no: 51, 0.022132442251138938, insert, 0.07511737089201878, 1.0, 1.0
nextInt,SIMPLE_NAME, line no: 64,nextInt,SIMPLE_NAME, line no: 64, 0.022132442251138938, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 65,scanner,SIMPLE_NAME, line no: 51, 0.022132442251138938, insert, 0.07511737089201878, 1.0, 1.0
nextInt,SIMPLE_NAME, line no: 65,nextInt,SIMPLE_NAME, line no: 64, 0.022132442251138938, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 66,scanner,SIMPLE_NAME, line no: 51, 0.022132442251138938, insert, 0.07511737089201878, 1.0, 1.0
nextInt,SIMPLE_NAME, line no: 66,nextInt,SIMPLE_NAME, line no: 64, 0.022132442251138938, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 67,scanner,SIMPLE_NAME, line no: 51, 0.022132442251138938, insert, 0.07511737089201878, 1.0, 1.0
nextInt,SIMPLE_NAME, line no: 67,nextInt,SIMPLE_NAME, line no: 64, 0.022132442251138938, insert, 1.0, 0.0, 1.0
output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("%d is the smallest\n" D.value)); ,EXPRESSION_STATEMENT, line no: 81, 0.020308916697807954, insert, 0.09047619047619047, 1.0, 0.527027027027027
output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("%d is the smallest\n" C.value)); ,EXPRESSION_STATEMENT, line no: 77, 0.020199146787966617, insert, 0.08571428571428572, 1.0, 0.527027027027027
output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("%d is the smallest\n" B.value)); ,EXPRESSION_STATEMENT, line no: 73, 0.020089376878125276, insert, 0.08095238095238096, 1.0, 0.527027027027027
output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("%d is the smallest\n" A.value)); ,EXPRESSION_STATEMENT, line no: 69, 0.019979606968283936, insert, 0.0761904761904762, 1.0, 0.527027027027027
A.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.018404754883398045, insert, 0.24285714285714285, 0.0, 0.37037037037037035
B.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.018404754883398045, insert, 0.24285714285714285, 0.0, 0.37037037037037035
C.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.018404754883398045, insert, 0.24285714285714285, 0.0, 0.37037037037037035
D.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.018404754883398045, insert, 0.24285714285714285, 0.0, 0.37037037037037035
A.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.01469761319138787, insert, 0.24285714285714285, 0.0, 0.2631578947368421
B.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.01469761319138787, insert, 0.24285714285714285, 0.0, 0.2631578947368421
C.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.01469761319138787, insert, 0.24285714285714285, 0.0, 0.2631578947368421
D.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.01469761319138787, insert, 0.24285714285714285, 0.0, 0.2631578947368421
nextInt,SIMPLE_NAME, line no: 64,IntObj,SIMPLE_NAME, line no: 60, 0.014419486520963356, insert, 0.9859154929577465, 0.0, 0.42857142857142855
nextInt,SIMPLE_NAME, line no: 65,IntObj,SIMPLE_NAME, line no: 60, 0.014419486520963356, insert, 0.9859154929577465, 0.0, 0.42857142857142855
nextInt,SIMPLE_NAME, line no: 66,IntObj,SIMPLE_NAME, line no: 60, 0.014419486520963356, insert, 0.9859154929577465, 0.0, 0.42857142857142855
nextInt,SIMPLE_NAME, line no: 67,IntObj,SIMPLE_NAME, line no: 60, 0.014419486520963356, insert, 0.9859154929577465, 0.0, 0.42857142857142855
output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.014009013899211043, insert, 0.24285714285714285, 1.0, 0.24324324324324326
format,SIMPLE_NAME, line no: 63,output,SIMPLE_NAME, line no: 49, 0.013196727248809947, insert, 0.2383177570093458, 0.0, 0.3333333333333333
A.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,mainClass.scanner=new java.util.Scanner(args[0]); ,EXPRESSION_STATEMENT, line no: 51, 0.013183366171944962, insert, 0.06190476190476191, 0.5, 0.34
B.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,mainClass.scanner=new java.util.Scanner(args[0]); ,EXPRESSION_STATEMENT, line no: 51, 0.013183366171944962, insert, 0.06190476190476191, 0.5, 0.34
C.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,mainClass.scanner=new java.util.Scanner(args[0]); ,EXPRESSION_STATEMENT, line no: 51, 0.013183366171944962, insert, 0.06190476190476191, 0.5, 0.34
D.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,mainClass.scanner=new java.util.Scanner(args[0]); ,EXPRESSION_STATEMENT, line no: 51, 0.013183366171944962, insert, 0.06190476190476191, 0.5, 0.34
A.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,mainClass.scanner=new java.util.Scanner(System.in); ,EXPRESSION_STATEMENT, line no: 53, 0.012950738401473507, insert, 0.07142857142857142, 0.5, 0.3269230769230769
B.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,mainClass.scanner=new java.util.Scanner(System.in); ,EXPRESSION_STATEMENT, line no: 53, 0.012950738401473507, insert, 0.07142857142857142, 0.5, 0.3269230769230769
C.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,mainClass.scanner=new java.util.Scanner(System.in); ,EXPRESSION_STATEMENT, line no: 53, 0.012950738401473507, insert, 0.07142857142857142, 0.5, 0.3269230769230769
D.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,mainClass.scanner=new java.util.Scanner(System.in); ,EXPRESSION_STATEMENT, line no: 53, 0.012950738401473507, insert, 0.07142857142857142, 0.5, 0.3269230769230769
scanner,SIMPLE_NAME, line no: 64,nextInt,SIMPLE_NAME, line no: 64, 0.012647109857793678, insert, 1.0, 0.0, 0.2857142857142857
nextInt,SIMPLE_NAME, line no: 64,String,SIMPLE_NAME, line no: 49, 0.012647109857793678, insert, 0.23943661971830985, 0.0, 0.2857142857142857
nextInt,SIMPLE_NAME, line no: 64,scanner,SIMPLE_NAME, line no: 51, 0.012647109857793678, insert, 0.07511737089201878, 0.0, 0.2857142857142857
