output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.03529053520421588, insert, 1.0, 1.0, 1.0
num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64, 0.03529053520421588, insert, 1.0, 3.0, 1.0
num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.03529053520421588, insert, 1.0, 3.0, 1.0
num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.03529053520421588, insert, 1.0, 3.0, 1.0
num4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,num4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.03529053520421588, insert, 1.0, 3.0, 1.0
output+=(String.format("%d is the smallest\n" small.value)); ,EXPRESSION_STATEMENT, line no: 80,output+=(String.format("%d is the smallest\n" small.value)); ,EXPRESSION_STATEMENT, line no: 80, 0.03529053520421588, insert, 1.0, 3.0, 1.0
num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.03458472450013156, insert, 1.0, 1.5, 0.9666666666666667
num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.03458472450013156, insert, 1.0, 1.5, 0.9666666666666667
num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,num4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.03458472450013156, insert, 1.0, 1.5, 0.9666666666666667
num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64, 0.03458472450013156, insert, 1.0, 1.5, 0.9666666666666667
num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.03458472450013156, insert, 1.0, 1.5, 0.9666666666666667
num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,num4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.03458472450013156, insert, 1.0, 1.5, 0.9666666666666667
num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64, 0.03458472450013156, insert, 1.0, 1.5, 0.9666666666666667
num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.03458472450013156, insert, 1.0, 1.5, 0.9666666666666667
num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,num4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.03458472450013156, insert, 1.0, 1.5, 0.9666666666666667
num4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64, 0.03458472450013156, insert, 1.0, 1.5, 0.9666666666666667
num4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.03458472450013156, insert, 1.0, 1.5, 0.9666666666666667
num4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.03458472450013156, insert, 1.0, 1.5, 0.9666666666666667
output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("%d is the smallest\n" small.value)); ,EXPRESSION_STATEMENT, line no: 80, 0.025561793066837448, insert, 1.0, 1.0, 0.5405405405405406
output+=(String.format("%d is the smallest\n" small.value)); ,EXPRESSION_STATEMENT, line no: 80,output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.025561793066837448, insert, 1.0, 0.3333333333333333, 0.5405405405405406
output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62,num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64, 0.018408306201118014, insert, 1.0, 0.0, 0.20270270270270271
output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62,num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.018408306201118014, insert, 1.0, 0.0, 0.20270270270270271
output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62,num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.018408306201118014, insert, 1.0, 0.0, 0.20270270270270271
output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62,num4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.018408306201118014, insert, 1.0, 0.0, 0.20270270270270271
num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.018408306201118014, insert, 1.0, 0.0, 0.20270270270270271
num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.018408306201118014, insert, 1.0, 0.0, 0.20270270270270271
num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.018408306201118014, insert, 1.0, 0.0, 0.20270270270270271
num4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.018408306201118014, insert, 1.0, 0.0, 0.20270270270270271
num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("%d is the smallest\n" small.value)); ,EXPRESSION_STATEMENT, line no: 80, 0.018281654302511833, insert, 1.0, 0.6000000000000001, 0.19672131147540983
num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("%d is the smallest\n" small.value)); ,EXPRESSION_STATEMENT, line no: 80, 0.018281654302511833, insert, 1.0, 0.6000000000000001, 0.19672131147540983
num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,output+=(String.format("%d is the smallest\n" small.value)); ,EXPRESSION_STATEMENT, line no: 80, 0.018281654302511833, insert, 1.0, 0.6000000000000001, 0.19672131147540983
num4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,output+=(String.format("%d is the smallest\n" small.value)); ,EXPRESSION_STATEMENT, line no: 80, 0.018281654302511833, insert, 1.0, 0.6000000000000001, 0.19672131147540983
output+=(String.format("%d is the smallest\n" small.value)); ,EXPRESSION_STATEMENT, line no: 80,num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64, 0.018281654302511833, insert, 1.0, 0.6000000000000001, 0.19672131147540983
output+=(String.format("%d is the smallest\n" small.value)); ,EXPRESSION_STATEMENT, line no: 80,num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.018281654302511833, insert, 1.0, 0.6000000000000001, 0.19672131147540983
output+=(String.format("%d is the smallest\n" small.value)); ,EXPRESSION_STATEMENT, line no: 80,num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.018281654302511833, insert, 1.0, 0.6000000000000001, 0.19672131147540983
output+=(String.format("%d is the smallest\n" small.value)); ,EXPRESSION_STATEMENT, line no: 80,num4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.018281654302511833, insert, 1.0, 0.6000000000000001, 0.19672131147540983
String,SIMPLE_NAME, line no: 63,String,SIMPLE_NAME, line no: 49, 0.013553297569226467, insert, 0.2833333333333333, 0.0, 1.0
format,SIMPLE_NAME, line no: 63,format,SIMPLE_NAME, line no: 63, 0.013553297569226467, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 64,scanner,SIMPLE_NAME, line no: 51, 0.013553297569226467, insert, 0.0893854748603352, 1.0, 1.0
nextInt,SIMPLE_NAME, line no: 64,nextInt,SIMPLE_NAME, line no: 64, 0.013553297569226467, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 65,scanner,SIMPLE_NAME, line no: 51, 0.013553297569226467, insert, 0.0893854748603352, 1.0, 1.0
nextInt,SIMPLE_NAME, line no: 65,nextInt,SIMPLE_NAME, line no: 64, 0.013553297569226467, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 66,scanner,SIMPLE_NAME, line no: 51, 0.013553297569226467, insert, 0.0893854748603352, 1.0, 1.0
nextInt,SIMPLE_NAME, line no: 66,nextInt,SIMPLE_NAME, line no: 64, 0.013553297569226467, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 67,scanner,SIMPLE_NAME, line no: 51, 0.013553297569226467, insert, 0.0893854748603352, 1.0, 1.0
nextInt,SIMPLE_NAME, line no: 67,nextInt,SIMPLE_NAME, line no: 64, 0.013553297569226467, insert, 1.0, 0.0, 1.0
String,SIMPLE_NAME, line no: 80,String,SIMPLE_NAME, line no: 49, 0.013553297569226467, insert, 0.2833333333333333, 0.0, 1.0
format,SIMPLE_NAME, line no: 80,format,SIMPLE_NAME, line no: 63, 0.013553297569226467, insert, 1.0, 0.0, 1.0
small,SIMPLE_NAME, line no: 80,small,SIMPLE_NAME, line no: 61, 0.013553297569226467, insert, 0.9723756906077348, 1.0, 1.0
value,SIMPLE_NAME, line no: 80,value,SIMPLE_NAME, line no: 7, 0.013553297569226467, insert, 0.03314917127071823, 1.0, 1.0
num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.011854411598143424, insert, 0.2897727272727273, 0.0, 0.36666666666666664
num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.011854411598143424, insert, 0.2897727272727273, 0.0, 0.36666666666666664
num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.011854411598143424, insert, 0.2897727272727273, 0.0, 0.36666666666666664
num4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.011854411598143424, insert, 0.2897727272727273, 0.0, 0.36666666666666664
output+=(String.format("%d is the smallest\n" small.value)); ,EXPRESSION_STATEMENT, line no: 80,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.010685774202856275, insert, 0.2897727272727273, 0.5, 0.3114754098360656
num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.010219902599211322, insert, 0.2897727272727273, 0.0, 0.2894736842105263
num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.010219902599211322, insert, 0.2897727272727273, 0.0, 0.2894736842105263
num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.010219902599211322, insert, 0.2897727272727273, 0.0, 0.2894736842105263
num4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.010219902599211322, insert, 0.2897727272727273, 0.0, 0.2894736842105263
num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,small.value=num3.value; ,EXPRESSION_STATEMENT, line no: 76, 0.010057802533201526, insert, 0.0625, 0.6000000000000001, 0.43333333333333335
num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,small.value=num4.value; ,EXPRESSION_STATEMENT, line no: 78, 0.010057802533201526, insert, 0.0625, 0.6000000000000001, 0.43333333333333335
num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,small.value=num3.value; ,EXPRESSION_STATEMENT, line no: 76, 0.010057802533201526, insert, 0.0625, 0.6000000000000001, 0.43333333333333335
num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,small.value=num4.value; ,EXPRESSION_STATEMENT, line no: 78, 0.010057802533201526, insert, 0.0625, 0.6000000000000001, 0.43333333333333335
num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,small.value=num3.value; ,EXPRESSION_STATEMENT, line no: 76, 0.010057802533201526, insert, 0.0625, 1.5, 0.43333333333333335
num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,small.value=num4.value; ,EXPRESSION_STATEMENT, line no: 78, 0.010057802533201526, insert, 0.0625, 0.6000000000000001, 0.43333333333333335
num4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,small.value=num3.value; ,EXPRESSION_STATEMENT, line no: 76, 0.010057802533201526, insert, 0.0625, 0.6000000000000001, 0.43333333333333335
num4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,small.value=num4.value; ,EXPRESSION_STATEMENT, line no: 78, 0.010057802533201526, insert, 0.0625, 1.5, 0.43333333333333335
num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,small.value=num2.value; ,EXPRESSION_STATEMENT, line no: 73, 0.009977596771373762, insert, 0.056818181818181816, 0.6000000000000001, 0.43333333333333335
num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,small.value=num2.value; ,EXPRESSION_STATEMENT, line no: 73, 0.009977596771373762, insert, 0.056818181818181816, 1.5, 0.43333333333333335
num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,small.value=num2.value; ,EXPRESSION_STATEMENT, line no: 73, 0.009977596771373762, insert, 0.056818181818181816, 0.6000000000000001, 0.43333333333333335
num4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,small.value=num2.value; ,EXPRESSION_STATEMENT, line no: 73, 0.009977596771373762, insert, 0.056818181818181816, 0.6000000000000001, 0.43333333333333335
num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,small.value=num1.value; ,EXPRESSION_STATEMENT, line no: 70, 0.009897391009545998, insert, 0.05113636363636364, 1.5, 0.43333333333333335
num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,small.value=num1.value; ,EXPRESSION_STATEMENT, line no: 70, 0.009897391009545998, insert, 0.05113636363636364, 0.6000000000000001, 0.43333333333333335
num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,small.value=num1.value; ,EXPRESSION_STATEMENT, line no: 70, 0.009897391009545998, insert, 0.05113636363636364, 0.6000000000000001, 0.43333333333333335
num4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,small.value=num1.value; ,EXPRESSION_STATEMENT, line no: 70, 0.009897391009545998, insert, 0.05113636363636364, 0.6000000000000001, 0.43333333333333335
output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.009241004396533924, insert, 0.2897727272727273, 1.0, 0.24324324324324326
small.value,QUALIFIED_NAME, line no: 80,value,SIMPLE_NAME, line no: 7, 0.009117672910206896, insert, 0.03333333333333333, 0.5, 0.45454545454545453
small.value,QUALIFIED_NAME, line no: 80,small,SIMPLE_NAME, line no: 61, 0.009117672910206896, insert, 0.9777777777777777, 0.5, 0.45454545454545453
nextInt,SIMPLE_NAME, line no: 64,IntObj,SIMPLE_NAME, line no: 60, 0.008815592592912666, insert, 0.9832402234636871, 0.0, 0.42857142857142855
nextInt,SIMPLE_NAME, line no: 65,IntObj,SIMPLE_NAME, line no: 60, 0.008815592592912666, insert, 0.9832402234636871, 0.0, 0.42857142857142855
nextInt,SIMPLE_NAME, line no: 66,IntObj,SIMPLE_NAME, line no: 60, 0.008815592592912666, insert, 0.9832402234636871, 0.0, 0.42857142857142855
nextInt,SIMPLE_NAME, line no: 67,IntObj,SIMPLE_NAME, line no: 60, 0.008815592592912666, insert, 0.9832402234636871, 0.0, 0.42857142857142855
small,SIMPLE_NAME, line no: 80,value,SIMPLE_NAME, line no: 7, 0.008674110444304939, insert, 0.03314917127071823, 0.0, 0.4
value,SIMPLE_NAME, line no: 80,small,SIMPLE_NAME, line no: 61, 0.008674110444304939, insert, 0.9723756906077348, 0.0, 0.4
num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,mainClass.scanner=new java.util.Scanner(args[0]); ,EXPRESSION_STATEMENT, line no: 51, 0.008665430507871554, insert, 0.07386363636363637, 0.5, 0.36
num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,mainClass.scanner=new java.util.Scanner(args[0]); ,EXPRESSION_STATEMENT, line no: 51, 0.008665430507871554, insert, 0.07386363636363637, 0.5, 0.36
num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,mainClass.scanner=new java.util.Scanner(args[0]); ,EXPRESSION_STATEMENT, line no: 51, 0.008665430507871554, insert, 0.07386363636363637, 0.5, 0.36
num4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,mainClass.scanner=new java.util.Scanner(args[0]); ,EXPRESSION_STATEMENT, line no: 51, 0.008665430507871554, insert, 0.07386363636363637, 0.5, 0.36
num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,mainClass.scanner=new java.util.Scanner(System.in); ,EXPRESSION_STATEMENT, line no: 53, 0.008532659123676671, insert, 0.08522727272727272, 0.5, 0.34615384615384615
num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,mainClass.scanner=new java.util.Scanner(System.in); ,EXPRESSION_STATEMENT, line no: 53, 0.008532659123676671, insert, 0.08522727272727272, 0.5, 0.34615384615384615
num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,mainClass.scanner=new java.util.Scanner(System.in); ,EXPRESSION_STATEMENT, line no: 53, 0.008532659123676671, insert, 0.08522727272727272, 0.5, 0.34615384615384615
num4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,mainClass.scanner=new java.util.Scanner(System.in); ,EXPRESSION_STATEMENT, line no: 53, 0.008532659123676671, insert, 0.08522727272727272, 0.5, 0.34615384615384615
format,SIMPLE_NAME, line no: 63,small,SIMPLE_NAME, line no: 61, 0.00813197854153588, insert, 0.9777777777777777, 0.0, 0.3333333333333333
format,SIMPLE_NAME, line no: 80,small,SIMPLE_NAME, line no: 61, 0.00813197854153588, insert, 0.9777777777777777, 0.0, 0.3333333333333333
small,SIMPLE_NAME, line no: 80,format,SIMPLE_NAME, line no: 63, 0.00810202650270886, insert, 0.994475138121547, 0.0, 0.3333333333333333
format,SIMPLE_NAME, line no: 63,output,SIMPLE_NAME, line no: 49, 0.00807174166345043, insert, 0.2833333333333333, 0.0, 0.3333333333333333
format,SIMPLE_NAME, line no: 80,output,SIMPLE_NAME, line no: 49, 0.00807174166345043, insert, 0.2833333333333333, 0.0, 0.3333333333333333
output+=(String.format("%d is the smallest\n" small.value)); ,EXPRESSION_STATEMENT, line no: 80,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.007908814055639288, insert, 0.2897727272727273, 0.0, 0.18032786885245902
scanner,SIMPLE_NAME, line no: 64,value,SIMPLE_NAME, line no: 7, 0.00774474146812941, insert, 0.0335195530726257, 0.0, 0.2857142857142857
scanner,SIMPLE_NAME, line no: 64,small,SIMPLE_NAME, line no: 61, 0.00774474146812941, insert, 0.9832402234636871, 0.0, 0.2857142857142857
scanner,SIMPLE_NAME, line no: 64,nextInt,SIMPLE_NAME, line no: 64, 0.00774474146812941, insert, 1.0, 0.0, 0.2857142857142857
nextInt,SIMPLE_NAME, line no: 64,String,SIMPLE_NAME, line no: 49, 0.00774474146812941, insert, 0.2849162011173184, 0.0, 0.2857142857142857
