output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.02881460133335181, insert, 1.0, 1.0, 1.0
a.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65,a.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65, 0.02881460133335181, insert, 1.0, 3.0, 1.0
b.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66,b.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66, 0.02881460133335181, insert, 1.0, 3.0, 1.0
c.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,c.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67, 0.02881460133335181, insert, 1.0, 3.0, 1.0
d.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68,d.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68, 0.02881460133335181, insert, 1.0, 3.0, 1.0
output+=(String.format("%.0f is the smallest\n" p.value)); ,EXPRESSION_STATEMENT, line no: 84,output+=(String.format("%.0f is the smallest\n" p.value)); ,EXPRESSION_STATEMENT, line no: 84, 0.02881460133335181, insert, 1.0, 3.0, 1.0
a.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65,b.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66, 0.028238309306684774, insert, 1.0, 1.5, 0.9666666666666667
a.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65,c.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67, 0.028238309306684774, insert, 1.0, 1.5, 0.9666666666666667
a.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65,d.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68, 0.028238309306684774, insert, 1.0, 1.5, 0.9666666666666667
b.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66,a.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65, 0.028238309306684774, insert, 1.0, 1.5, 0.9666666666666667
b.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66,c.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67, 0.028238309306684774, insert, 1.0, 1.5, 0.9666666666666667
b.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66,d.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68, 0.028238309306684774, insert, 1.0, 1.5, 0.9666666666666667
c.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,a.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65, 0.028238309306684774, insert, 1.0, 1.5, 0.9666666666666667
c.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,b.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66, 0.028238309306684774, insert, 1.0, 1.5, 0.9666666666666667
c.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,d.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68, 0.028238309306684774, insert, 1.0, 1.5, 0.9666666666666667
d.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68,a.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65, 0.028238309306684774, insert, 1.0, 1.5, 0.9666666666666667
d.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68,b.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66, 0.028238309306684774, insert, 1.0, 1.5, 0.9666666666666667
d.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68,c.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67, 0.028238309306684774, insert, 1.0, 1.5, 0.9666666666666667
output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("%.0f is the smallest\n" p.value)); ,EXPRESSION_STATEMENT, line no: 84, 0.020871116641454825, insert, 1.0, 1.0, 0.5405405405405406
output+=(String.format("%.0f is the smallest\n" p.value)); ,EXPRESSION_STATEMENT, line no: 84,output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.020871116641454825, insert, 1.0, 0.3333333333333333, 0.5405405405405406
a.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("%.0f is the smallest\n" p.value)); ,EXPRESSION_STATEMENT, line no: 84, 0.015335228506224523, insert, 1.0, 0.6000000000000001, 0.22033898305084745
output+=(String.format("%.0f is the smallest\n" p.value)); ,EXPRESSION_STATEMENT, line no: 84,a.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65, 0.015335228506224523, insert, 1.0, 0.6000000000000001, 0.22033898305084745
output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63,a.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65, 0.015263950976586366, insert, 1.0, 0.0, 0.21621621621621623
output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63,b.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66, 0.015263950976586366, insert, 1.0, 0.0, 0.21621621621621623
output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63,c.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67, 0.015263950976586366, insert, 1.0, 0.0, 0.21621621621621623
output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63,d.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68, 0.015263950976586366, insert, 1.0, 0.0, 0.21621621621621623
a.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.015263950976586366, insert, 1.0, 0.0, 0.21621621621621623
b.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66,output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.015263950976586366, insert, 1.0, 0.0, 0.21621621621621623
c.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.015263950976586366, insert, 1.0, 0.0, 0.21621621621621623
d.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68,output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.015263950976586366, insert, 1.0, 0.0, 0.21621621621621623
b.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66,output+=(String.format("%.0f is the smallest\n" p.value)); ,EXPRESSION_STATEMENT, line no: 84, 0.015042198662156538, insert, 1.0, 0.6000000000000001, 0.2033898305084746
c.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,output+=(String.format("%.0f is the smallest\n" p.value)); ,EXPRESSION_STATEMENT, line no: 84, 0.015042198662156538, insert, 1.0, 0.6000000000000001, 0.2033898305084746
d.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68,output+=(String.format("%.0f is the smallest\n" p.value)); ,EXPRESSION_STATEMENT, line no: 84, 0.015042198662156538, insert, 1.0, 0.6000000000000001, 0.2033898305084746
output+=(String.format("%.0f is the smallest\n" p.value)); ,EXPRESSION_STATEMENT, line no: 84,b.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66, 0.015042198662156538, insert, 1.0, 0.6000000000000001, 0.2033898305084746
output+=(String.format("%.0f is the smallest\n" p.value)); ,EXPRESSION_STATEMENT, line no: 84,c.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67, 0.015042198662156538, insert, 1.0, 0.6000000000000001, 0.2033898305084746
output+=(String.format("%.0f is the smallest\n" p.value)); ,EXPRESSION_STATEMENT, line no: 84,d.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68, 0.015042198662156538, insert, 1.0, 0.6000000000000001, 0.2033898305084746
String,SIMPLE_NAME, line no: 64,String,SIMPLE_NAME, line no: 49, 0.011066221125569469, insert, 0.28651685393258425, 0.0, 1.0
format,SIMPLE_NAME, line no: 64,format,SIMPLE_NAME, line no: 64, 0.011066221125569469, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 65,scanner,SIMPLE_NAME, line no: 51, 0.011066221125569469, insert, 0.0903954802259887, 1.0, 1.0
nextDouble,SIMPLE_NAME, line no: 65,nextDouble,SIMPLE_NAME, line no: 65, 0.011066221125569469, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 66,scanner,SIMPLE_NAME, line no: 51, 0.011066221125569469, insert, 0.0903954802259887, 1.0, 1.0
nextDouble,SIMPLE_NAME, line no: 66,nextDouble,SIMPLE_NAME, line no: 65, 0.011066221125569469, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 67,scanner,SIMPLE_NAME, line no: 51, 0.011066221125569469, insert, 0.0903954802259887, 1.0, 1.0
nextDouble,SIMPLE_NAME, line no: 67,nextDouble,SIMPLE_NAME, line no: 65, 0.011066221125569469, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 68,scanner,SIMPLE_NAME, line no: 51, 0.011066221125569469, insert, 0.0903954802259887, 1.0, 1.0
nextDouble,SIMPLE_NAME, line no: 68,nextDouble,SIMPLE_NAME, line no: 65, 0.011066221125569469, insert, 1.0, 0.0, 1.0
String,SIMPLE_NAME, line no: 84,String,SIMPLE_NAME, line no: 49, 0.011066221125569469, insert, 0.28651685393258425, 0.0, 1.0
format,SIMPLE_NAME, line no: 84,format,SIMPLE_NAME, line no: 64, 0.011066221125569469, insert, 1.0, 0.0, 1.0
p,SIMPLE_NAME, line no: 84,p,SIMPLE_NAME, line no: 62, 0.011066221125569469, insert, 0.9720670391061452, 1.0, 1.0
value,SIMPLE_NAME, line no: 84,value,SIMPLE_NAME, line no: 7, 0.011066221125569469, insert, 0.0335195530726257, 0.0, 1.0
a.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 65,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.009717475897937266, insert, 0.29310344827586204, 0.0, 0.36666666666666664
b.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 66,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.009717475897937266, insert, 0.29310344827586204, 0.0, 0.36666666666666664
c.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 67,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.009717475897937266, insert, 0.29310344827586204, 0.0, 0.36666666666666664
d.value=scanner.nextDouble(); ,EXPRESSION_STATEMENT, line no: 68,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.009717475897937266, insert, 0.29310344827586204, 0.0, 0.36666666666666664
p.value,QUALIFIED_NAME, line no: 84,value,SIMPLE_NAME, line no: 7, 0.009169154646900417, insert, 0.033707865168539325, 0.0, 0.7142857142857143
