tmp.value=int2.value; ,EXPRESSION_STATEMENT, line no: 70,tmp.value=int2.value; ,EXPRESSION_STATEMENT, line no: 70, 5.697066666666666, insert, 1.0, 3.0, 1.0
tmp.value=int3.value; ,EXPRESSION_STATEMENT, line no: 72,tmp.value=int3.value; ,EXPRESSION_STATEMENT, line no: 72, 5.607750269189626, insert, 1.0, 3.0, 1.0
int1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,int1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64, 5.514512701892219, insert, 1.0, 3.0, 1.0
int2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,int2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 5.514512701892219, insert, 1.0, 3.0, 1.0
int3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,int3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 5.514512701892219, insert, 1.0, 3.0, 1.0
int4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,int4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 5.514512701892219, insert, 1.0, 3.0, 1.0
tmp.value=int1.value; ,EXPRESSION_STATEMENT, line no: 68,tmp.value=int1.value; ,EXPRESSION_STATEMENT, line no: 68, 5.514512701892219, insert, 1.0, 3.0, 1.0
output+=(String.format("%d is the smallest\n" tmp.value)); ,EXPRESSION_STATEMENT, line no: 76,output+=(String.format("%d is the smallest\n" tmp.value)); ,EXPRESSION_STATEMENT, line no: 76, 5.514512701892219, insert, 1.0, 3.0, 1.0
tmp.value=int2.value; ,EXPRESSION_STATEMENT, line no: 70,if (int1.value > int2.value) {   tmp.value=int2.value; }  else if (tmp.value > int3.value) {   tmp.value=int3.value; }  else if (tmp.value > int4.value) {   tmp.value=int4.value; } ,IF_STATEMENT, line no: 69, 4.802313627992634, insert, 1.0, 3.0, 0.12154696132596685
tmp.value=int3.value; ,EXPRESSION_STATEMENT, line no: 72,if (tmp.value > int3.value) {   tmp.value=int3.value; }  else if (tmp.value > int4.value) {   tmp.value=int4.value; } ,IF_STATEMENT, line no: 71, 4.777890947155727, insert, 1.0, 3.0, 0.1864406779661017
