output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("Please enter 4 numbers separated by spaces > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.12225, insert, 1.0, 1.0, 1.0
num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64, 0.12225, insert, 1.0, 3.0, 1.0
num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.12225, insert, 1.0, 3.0, 1.0
num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.12225, insert, 1.0, 3.0, 1.0
num4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,num4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.12225, insert, 1.0, 3.0, 1.0
num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.11652559523809525, insert, 1.0, 1.5, 0.9666666666666667
num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.11652559523809525, insert, 1.0, 1.5, 0.9666666666666667
num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64,num4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.11652559523809525, insert, 1.0, 1.5, 0.9666666666666667
num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64, 0.11652559523809525, insert, 1.0, 1.5, 0.9666666666666667
num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.11652559523809525, insert, 1.0, 1.5, 0.9666666666666667
num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65,num4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.11652559523809525, insert, 1.0, 1.5, 0.9666666666666667
num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64, 0.11652559523809525, insert, 1.0, 1.5, 0.9666666666666667
num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.11652559523809525, insert, 1.0, 1.5, 0.9666666666666667
num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66,num4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67, 0.11652559523809525, insert, 1.0, 1.5, 0.9666666666666667
num4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,num1.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 64, 0.11652559523809525, insert, 1.0, 1.5, 0.9666666666666667
num4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,num2.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 65, 0.11652559523809525, insert, 1.0, 1.5, 0.9666666666666667
num4.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 67,num3.value=scanner.nextInt(); ,EXPRESSION_STATEMENT, line no: 66, 0.11652559523809525, insert, 1.0, 1.5, 0.9666666666666667
String,SIMPLE_NAME, line no: 83,String,SIMPLE_NAME, line no: 49, 0.09390000000000001, insert, 0.7407407407407407, 0.0, 1.0
