vowels.value=0; ,EXPRESSION_STATEMENT, line no: 63,vowels.value=0; ,EXPRESSION_STATEMENT, line no: 63, 0.05762920266670362, insert, 1.0, 2.0, 1.0
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 64, 0.05762920266670362, insert, 1.0, 1.0, 1.0
x=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 65,x=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 65, 0.05762920266670362, insert, 1.0, 2.0, 1.0
len.value=x.length; ,EXPRESSION_STATEMENT, line no: 66,len.value=x.length; ,EXPRESSION_STATEMENT, line no: 66, 0.05762920266670362, insert, 1.0, 3.0, 1.0
output+=(String.format("The number of syllables is %d.\n" vowels.value)); ,EXPRESSION_STATEMENT, line no: 74,output+=(String.format("The number of syllables is %d.\n" vowels.value)); ,EXPRESSION_STATEMENT, line no: 74, 0.05762920266670362, insert, 1.0, 3.0, 1.0
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("The number of syllables is %d.\n" vowels.value)); ,EXPRESSION_STATEMENT, line no: 74, 0.04127496947750395, insert, 1.0, 1.0, 0.527027027027027
output+=(String.format("The number of syllables is %d.\n" vowels.value)); ,EXPRESSION_STATEMENT, line no: 74,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 64, 0.04127496947750395, insert, 1.0, 0.3333333333333333, 0.527027027027027
vowels.value=0; ,EXPRESSION_STATEMENT, line no: 63,len.value=x.length; ,EXPRESSION_STATEMENT, line no: 66, 0.040340441866692535, insert, 1.0, 0.75, 0.5
len.value=x.length; ,EXPRESSION_STATEMENT, line no: 66,vowels.value=0; ,EXPRESSION_STATEMENT, line no: 63, 0.040340441866692535, insert, 1.0, 0.5, 0.5
x=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 65,len.value=x.length; ,EXPRESSION_STATEMENT, line no: 66, 0.032776609016687684, insert, 1.0, 0.75, 0.28125
len.value=x.length; ,EXPRESSION_STATEMENT, line no: 66,x=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 65, 0.032776609016687684, insert, 1.0, 0.5, 0.28125
vowels.value=0; ,EXPRESSION_STATEMENT, line no: 63,vowels.value+=1; ,EXPRESSION_STATEMENT, line no: 71, 0.031896145164578914, insert, 0.06015037593984962, 2.0, 0.8823529411764706
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 64,x=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 65, 0.03022814781385586, insert, 1.0, 0.0, 0.20754716981132076
x=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 64, 0.03022814781385586, insert, 1.0, 0.0, 0.20754716981132076
vowels.value=0; ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("The number of syllables is %d.\n" vowels.value)); ,EXPRESSION_STATEMENT, line no: 74, 0.029593374342361322, insert, 1.0, 2.0, 0.1891891891891892
output+=(String.format("The number of syllables is %d.\n" vowels.value)); ,EXPRESSION_STATEMENT, line no: 74,vowels.value=0; ,EXPRESSION_STATEMENT, line no: 63, 0.029593374342361322, insert, 1.0, 1.3333333333333333, 0.1891891891891892
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 64,len.value=x.length; ,EXPRESSION_STATEMENT, line no: 66, 0.029575741745930913, insert, 1.0, 0.0, 0.18867924528301888
len.value=x.length; ,EXPRESSION_STATEMENT, line no: 66,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 64, 0.029575741745930913, insert, 1.0, 0.0, 0.18867924528301888
x=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("The number of syllables is %d.\n" vowels.value)); ,EXPRESSION_STATEMENT, line no: 74, 0.029126110536955616, insert, 1.0, 0.0, 0.17567567567567569
output+=(String.format("The number of syllables is %d.\n" vowels.value)); ,EXPRESSION_STATEMENT, line no: 74,x=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 65, 0.029126110536955616, insert, 1.0, 0.0, 0.17567567567567569
vowels.value=0; ,EXPRESSION_STATEMENT, line no: 63,x=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 65, 0.028454418816684913, insert, 1.0, 0.0, 0.15625
x=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 65,vowels.value=0; ,EXPRESSION_STATEMENT, line no: 63, 0.028454418816684913, insert, 1.0, 0.0, 0.15625
len.value=x.length; ,EXPRESSION_STATEMENT, line no: 66,output+=(String.format("The number of syllables is %d.\n" vowels.value)); ,EXPRESSION_STATEMENT, line no: 74, 0.028191582926144203, insert, 1.0, 0.6000000000000001, 0.14864864864864866
output+=(String.format("The number of syllables is %d.\n" vowels.value)); ,EXPRESSION_STATEMENT, line no: 74,len.value=x.length; ,EXPRESSION_STATEMENT, line no: 66, 0.028191582926144203, insert, 1.0, 0.6000000000000001, 0.14864864864864866
vowels.value=0; ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 64, 0.027618523542156076, insert, 1.0, 0.0, 0.1320754716981132
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 64,vowels.value=0; ,EXPRESSION_STATEMENT, line no: 63, 0.027618523542156076, insert, 1.0, 0.0, 0.1320754716981132
String,SIMPLE_NAME, line no: 64,String,SIMPLE_NAME, line no: 49, 0.022132442251138938, insert, 0.40145985401459855, 0.0, 1.0
format,SIMPLE_NAME, line no: 64,format,SIMPLE_NAME, line no: 64, 0.022132442251138938, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 65,scanner,SIMPLE_NAME, line no: 51, 0.022132442251138938, insert, 0.13138686131386862, 1.0, 1.0
next,SIMPLE_NAME, line no: 65,next,SIMPLE_NAME, line no: 65, 0.022132442251138938, insert, 1.0, 0.0, 1.0
toCharArray,SIMPLE_NAME, line no: 65,toCharArray,SIMPLE_NAME, line no: 65, 0.022132442251138938, insert, 1.0, 0.0, 1.0
String,SIMPLE_NAME, line no: 75,String,SIMPLE_NAME, line no: 49, 0.022132442251138938, insert, 0.40145985401459855, 0.0, 1.0
format,SIMPLE_NAME, line no: 75,format,SIMPLE_NAME, line no: 64, 0.022132442251138938, insert, 1.0, 0.0, 1.0
vowels,SIMPLE_NAME, line no: 75,vowels,SIMPLE_NAME, line no: 62, 0.022132442251138938, insert, 0.9637681159420289, 1.0, 1.0
value,SIMPLE_NAME, line no: 75,value,SIMPLE_NAME, line no: 7, 0.022132442251138938, insert, 0.043478260869565216, 1.0, 1.0
len.value=x.length; ,EXPRESSION_STATEMENT, line no: 66,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.021634782625176777, insert, 0.41353383458646614, 0.0, 0.35
vowels.value=0; ,EXPRESSION_STATEMENT, line no: 63,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.02105849059850974, insert, 0.41353383458646614, 0.0, 0.3333333333333333
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 64,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.02062355321989311, insert, 0.41353383458646614, 1.0, 0.32075471698113206
x=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 65,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.01954193263359649, insert, 0.41353383458646614, 0.0, 0.2894736842105263
x=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 65,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.019257578015175254, insert, 0.41353383458646614, 0.0, 0.28125
output+=(String.format("The number of syllables is %d.\n" vowels.value)); ,EXPRESSION_STATEMENT, line no: 74,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.01887792617328312, insert, 0.41353383458646614, 0.5, 0.2702702702702703
len.value=x.length; ,EXPRESSION_STATEMENT, line no: 66,vowels.value+=1; ,EXPRESSION_STATEMENT, line no: 71, 0.018675328082217488, insert, 0.06015037593984962, 0.5, 0.5
vowels.value=0; ,EXPRESSION_STATEMENT, line no: 63,value=i; ,EXPRESSION_STATEMENT, line no: 7, 0.017982044441114287, insert, 0.03007518796992481, 0.5, 0.5
len.value=x.length; ,EXPRESSION_STATEMENT, line no: 66,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.017722063075700588, insert, 0.41353383458646614, 0.0, 0.23684210526315788
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 64,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.016056710744418484, insert, 0.41353383458646614, 0.0, 0.18867924528301888
vowels.value=0; ,EXPRESSION_STATEMENT, line no: 63,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.015902193517804683, insert, 0.41353383458646614, 0.0, 0.18421052631578946
output+=(String.format("The number of syllables is %d.\n" vowels.value)); ,EXPRESSION_STATEMENT, line no: 74,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.015607079535443187, insert, 0.41353383458646614, 0.0, 0.17567567567567569
scanner.next(),METHOD_INVOCATION, line no: 65,scanner,SIMPLE_NAME, line no: 51, 0.015492709575797256, insert, 0.1323529411764706, 1.0, 0.5
vowels.value,QUALIFIED_NAME, line no: 75,vowels,SIMPLE_NAME, line no: 62, 0.015492709575797256, insert, 0.9708029197080292, 0.5, 0.5
len.value=x.length; ,EXPRESSION_STATEMENT, line no: 66,value=i; ,EXPRESSION_STATEMENT, line no: 7, 0.01452429228111207, insert, 0.03007518796992481, 0.3333333333333333, 0.4
vowels.value,QUALIFIED_NAME, line no: 75,value,SIMPLE_NAME, line no: 7, 0.01438608746324031, insert, 0.043795620437956206, 0.5, 0.4166666666666667
x=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 65,mainClass.scanner=new java.util.Scanner(args[0]); ,EXPRESSION_STATEMENT, line no: 51, 0.014356170998144544, insert, 0.11278195488721804, 0.6666666666666666, 0.34
