s.value=0; ,EXPRESSION_STATEMENT, line no: 62,s.value=0; ,EXPRESSION_STATEMENT, line no: 62, 0.05762920266670362, insert, 1.0, 2.0, 1.0
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.05762920266670362, insert, 1.0, 1.0, 1.0
instr=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 64,instr=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 64, 0.05762920266670362, insert, 1.0, 2.0, 1.0
len.value=instr.length; ,EXPRESSION_STATEMENT, line no: 65,len.value=instr.length; ,EXPRESSION_STATEMENT, line no: 65, 0.05762920266670362, insert, 1.0, 3.0, 1.0
output+=(String.format("The number of syllables is %d.\n" s.value)); ,EXPRESSION_STATEMENT, line no: 73,output+=(String.format("The number of syllables is %d.\n" s.value)); ,EXPRESSION_STATEMENT, line no: 73, 0.05762920266670362, insert, 1.0, 3.0, 1.0
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("The number of syllables is %d.\n" s.value)); ,EXPRESSION_STATEMENT, line no: 73, 0.04259549762321572, insert, 1.0, 1.0, 0.5652173913043478
output+=(String.format("The number of syllables is %d.\n" s.value)); ,EXPRESSION_STATEMENT, line no: 73,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.04259549762321572, insert, 1.0, 0.3333333333333333, 0.5652173913043478
s.value=0; ,EXPRESSION_STATEMENT, line no: 62,len.value=instr.length; ,EXPRESSION_STATEMENT, line no: 65, 0.03601825166668976, insert, 1.0, 0.75, 0.375
len.value=instr.length; ,EXPRESSION_STATEMENT, line no: 65,s.value=0; ,EXPRESSION_STATEMENT, line no: 62, 0.03601825166668976, insert, 1.0, 0.5, 0.375
instr=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 64,len.value=instr.length; ,EXPRESSION_STATEMENT, line no: 65, 0.03361703488891045, insert, 1.0, 0.75, 0.3055555555555556
len.value=instr.length; ,EXPRESSION_STATEMENT, line no: 65,instr=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 64, 0.03361703488891045, insert, 1.0, 0.5, 0.3055555555555556
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 63,len.value=instr.length; ,EXPRESSION_STATEMENT, line no: 65, 0.03153295994970575, insert, 1.0, 0.0, 0.24528301886792453
len.value=instr.length; ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.03153295994970575, insert, 1.0, 0.0, 0.24528301886792453
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 63,instr=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 64, 0.030880553881780806, insert, 1.0, 0.0, 0.22641509433962265
instr=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.030880553881780806, insert, 1.0, 0.0, 0.22641509433962265
instr=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("The number of syllables is %d.\n" s.value)); ,EXPRESSION_STATEMENT, line no: 73, 0.0300674100869758, insert, 1.0, 0.0, 0.2028985507246377
output+=(String.format("The number of syllables is %d.\n" s.value)); ,EXPRESSION_STATEMENT, line no: 73,instr=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 64, 0.0300674100869758, insert, 1.0, 0.0, 0.2028985507246377
len.value=instr.length; ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("The number of syllables is %d.\n" s.value)); ,EXPRESSION_STATEMENT, line no: 73, 0.029566286585526208, insert, 1.0, 0.6000000000000001, 0.18840579710144928
output+=(String.format("The number of syllables is %d.\n" s.value)); ,EXPRESSION_STATEMENT, line no: 73,len.value=instr.length; ,EXPRESSION_STATEMENT, line no: 65, 0.029566286585526208, insert, 1.0, 0.6000000000000001, 0.18840579710144928
s.value=0; ,EXPRESSION_STATEMENT, line no: 62,instr=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 64, 0.02785411462224008, insert, 1.0, 0.0, 0.1388888888888889
instr=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 64,s.value=0; ,EXPRESSION_STATEMENT, line no: 62, 0.02785411462224008, insert, 1.0, 0.0, 0.1388888888888889
s.value=0; ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("The number of syllables is %d.\n" s.value)); ,EXPRESSION_STATEMENT, line no: 73, 0.02756179257972782, insert, 1.0, 2.0, 0.13043478260869565
output+=(String.format("The number of syllables is %d.\n" s.value)); ,EXPRESSION_STATEMENT, line no: 73,s.value=0; ,EXPRESSION_STATEMENT, line no: 62, 0.02756179257972782, insert, 1.0, 1.3333333333333333, 0.13043478260869565
s.value=0; ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.026966117474231128, insert, 1.0, 0.0, 0.11320754716981132
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 63,s.value=0; ,EXPRESSION_STATEMENT, line no: 62, 0.026966117474231128, insert, 1.0, 0.0, 0.11320754716981132
s.value=0; ,EXPRESSION_STATEMENT, line no: 62,value=i; ,EXPRESSION_STATEMENT, line no: 7, 0.025830301208725877, insert, 0.02962962962962963, 0.5, 0.7272727272727273
String,SIMPLE_NAME, line no: 63,String,SIMPLE_NAME, line no: 49, 0.022132442251138938, insert, 0.39568345323741005, 0.0, 1.0
format,SIMPLE_NAME, line no: 63,format,SIMPLE_NAME, line no: 63, 0.022132442251138938, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 64,scanner,SIMPLE_NAME, line no: 51, 0.022132442251138938, insert, 0.12949640287769784, 1.0, 1.0
next,SIMPLE_NAME, line no: 64,next,SIMPLE_NAME, line no: 64, 0.022132442251138938, insert, 1.0, 0.0, 1.0
toCharArray,SIMPLE_NAME, line no: 64,toCharArray,SIMPLE_NAME, line no: 64, 0.022132442251138938, insert, 1.0, 0.0, 1.0
String,SIMPLE_NAME, line no: 73,String,SIMPLE_NAME, line no: 49, 0.022132442251138938, insert, 0.39568345323741005, 0.0, 1.0
format,SIMPLE_NAME, line no: 73,format,SIMPLE_NAME, line no: 63, 0.022132442251138938, insert, 1.0, 0.0, 1.0
s,SIMPLE_NAME, line no: 73,s,SIMPLE_NAME, line no: 61, 0.022132442251138938, insert, 0.9642857142857143, 1.0, 1.0
value,SIMPLE_NAME, line no: 73,value,SIMPLE_NAME, line no: 7, 0.022132442251138938, insert, 0.04285714285714286, 1.0, 1.0
len.value=instr.length; ,EXPRESSION_STATEMENT, line no: 65,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.020917266153099832, insert, 0.4074074074074074, 0.0, 0.3333333333333333
