value=i; ,EXPRESSION_STATEMENT, line no: 7,value=i; ,EXPRESSION_STATEMENT, line no: 7, 0.04990835350920726, insert, 1.0, 1.0, 1.0
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 64, 0.04990835350920726, insert, 1.0, 1.0, 1.0
string=(scanner.nextLine() + "\n").toCharArray(); ,EXPRESSION_STATEMENT, line no: 65,string=(scanner.nextLine() + "\n").toCharArray(); ,EXPRESSION_STATEMENT, line no: 65, 0.04990835350920726, insert, 1.0, 2.0, 1.0
length.value=string.length; ,EXPRESSION_STATEMENT, line no: 66,length.value=string.length; ,EXPRESSION_STATEMENT, line no: 66, 0.04990835350920726, insert, 1.0, 3.0, 1.0
output+=(String.format("The number of syllables is %d.\n" count.value)); ,EXPRESSION_STATEMENT, line no: 74,output+=(String.format("The number of syllables is %d.\n" count.value)); ,EXPRESSION_STATEMENT, line no: 74, 0.04990835350920726, insert, 1.0, 3.0, 1.0
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("The number of syllables is %d.\n" count.value)); ,EXPRESSION_STATEMENT, line no: 74, 0.03596136156964797, insert, 1.0, 1.0, 0.5342465753424658
output+=(String.format("The number of syllables is %d.\n" count.value)); ,EXPRESSION_STATEMENT, line no: 74,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 64, 0.03596136156964797, insert, 1.0, 0.3333333333333333, 0.5342465753424658
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 64,string=(scanner.nextLine() + "\n").toCharArray(); ,EXPRESSION_STATEMENT, line no: 65, 0.03126334597180531, insert, 1.0, 0.0, 0.37735849056603776
string=(scanner.nextLine() + "\n").toCharArray(); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 64, 0.03126334597180531, insert, 1.0, 0.0, 0.37735849056603776
value=i; ,EXPRESSION_STATEMENT, line no: 7,length.value=string.length; ,EXPRESSION_STATEMENT, line no: 66, 0.02958852386617288, insert, 1.0, 1.0, 0.32142857142857145
value=i; ,EXPRESSION_STATEMENT, line no: 7,count.value++; ,EXPRESSION_STATEMENT, line no: 71, 0.028946845035340216, insert, 0.75, 1.0, 0.4666666666666667
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 64,length.value=string.length; ,EXPRESSION_STATEMENT, line no: 66, 0.028438344829774705, insert, 1.0, 0.0, 0.2830188679245283
length.value=string.length; ,EXPRESSION_STATEMENT, line no: 66,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 64, 0.028438344829774705, insert, 1.0, 0.0, 0.2830188679245283
value=i; ,EXPRESSION_STATEMENT, line no: 7,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.028281400321884115, insert, 1.0, 0.0, 0.2777777777777778
string=(scanner.nextLine() + "\n").toCharArray(); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("The number of syllables is %d.\n" count.value)); ,EXPRESSION_STATEMENT, line no: 74, 0.028167454309306016, insert, 1.0, 0.0, 0.273972602739726
output+=(String.format("The number of syllables is %d.\n" count.value)); ,EXPRESSION_STATEMENT, line no: 74,string=(scanner.nextLine() + "\n").toCharArray(); ,EXPRESSION_STATEMENT, line no: 65, 0.028167454309306016, insert, 1.0, 0.0, 0.273972602739726
string=(scanner.nextLine() + "\n").toCharArray(); ,EXPRESSION_STATEMENT, line no: 65,length.value=string.length; ,EXPRESSION_STATEMENT, line no: 66, 0.02774904455111924, insert, 1.0, 0.75, 0.26
length.value=string.length; ,EXPRESSION_STATEMENT, line no: 66,string=(scanner.nextLine() + "\n").toCharArray(); ,EXPRESSION_STATEMENT, line no: 65, 0.02774904455111924, insert, 1.0, 0.5, 0.26
length.value=string.length; ,EXPRESSION_STATEMENT, line no: 66,output+=(String.format("The number of syllables is %d.\n" count.value)); ,EXPRESSION_STATEMENT, line no: 74, 0.026116426082900237, insert, 1.0, 0.6000000000000001, 0.2054794520547945
output+=(String.format("The number of syllables is %d.\n" count.value)); ,EXPRESSION_STATEMENT, line no: 74,length.value=string.length; ,EXPRESSION_STATEMENT, line no: 66, 0.026116426082900237, insert, 1.0, 0.6000000000000001, 0.2054794520547945
value=i; ,EXPRESSION_STATEMENT, line no: 7,mainClass.scanner=new java.util.Scanner(args[0]); ,EXPRESSION_STATEMENT, line no: 51, 0.024155643098456317, insert, 1.0, 0.0, 0.14
value=i; ,EXPRESSION_STATEMENT, line no: 7,mainClass.scanner=new java.util.Scanner(System.in); ,EXPRESSION_STATEMENT, line no: 53, 0.023994400725580414, insert, 1.0, 0.0, 0.1346153846153846
value=i; ,EXPRESSION_STATEMENT, line no: 7,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.02390347457546243, insert, 1.0, 0.0, 0.13157894736842105
value=i; ,EXPRESSION_STATEMENT, line no: 7,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 64, 0.023353342774119625, insert, 1.0, 0.0, 0.11320754716981132
value=i; ,EXPRESSION_STATEMENT, line no: 7,string=(scanner.nextLine() + "\n").toCharArray(); ,EXPRESSION_STATEMENT, line no: 65, 0.022957842614235342, insert, 1.0, 0.0, 0.1
value=i; ,EXPRESSION_STATEMENT, line no: 7,output+=(String.format("The number of syllables is %d.\n" count.value)); ,EXPRESSION_STATEMENT, line no: 74, 0.022834780920650995, insert, 1.0, 1.0, 0.0958904109589041
String,SIMPLE_NAME, line no: 64,String,SIMPLE_NAME, line no: 49, 0.01916725723727837, insert, 0.4444444444444444, 0.0, 1.0
format,SIMPLE_NAME, line no: 64,format,SIMPLE_NAME, line no: 64, 0.01916725723727837, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 65,scanner,SIMPLE_NAME, line no: 51, 0.01916725723727837, insert, 0.140625, 1.0, 1.0
nextLine,SIMPLE_NAME, line no: 65,nextLine,SIMPLE_NAME, line no: 65, 0.01916725723727837, insert, 1.0, 0.0, 1.0
toCharArray,SIMPLE_NAME, line no: 65,toCharArray,SIMPLE_NAME, line no: 65, 0.01916725723727837, insert, 1.0, 0.0, 1.0
String,SIMPLE_NAME, line no: 75,String,SIMPLE_NAME, line no: 49, 0.01916725723727837, insert, 0.4444444444444444, 0.0, 1.0
format,SIMPLE_NAME, line no: 75,format,SIMPLE_NAME, line no: 64, 0.01916725723727837, insert, 1.0, 0.0, 1.0
count,SIMPLE_NAME, line no: 75,count,SIMPLE_NAME, line no: 63, 0.01916725723727837, insert, 0.9606299212598425, 1.0, 1.0
value,SIMPLE_NAME, line no: 75,value,SIMPLE_NAME, line no: 7, 0.01916725723727837, insert, 0.047244094488188976, 1.0, 1.0
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 64,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.01860487090915453, insert, 0.45081967213114754, 1.0, 0.32075471698113206
