value=i; ,EXPRESSION_STATEMENT, line no: 7,value=i; ,EXPRESSION_STATEMENT, line no: 7, 0.0815, insert, 1.0, 1.0, 1.0
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.0815, insert, 1.0, 1.0, 1.0
instr=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 63,instr=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 63, 0.0815, insert, 1.0, 2.0, 1.0
len.value=instr.length; ,EXPRESSION_STATEMENT, line no: 64,len.value=instr.length; ,EXPRESSION_STATEMENT, line no: 64, 0.0815, insert, 1.0, 3.0, 1.0
i.value=0; ,EXPRESSION_STATEMENT, line no: 65,i.value=0; ,EXPRESSION_STATEMENT, line no: 65, 0.0815, insert, 1.0, 2.0, 1.0
output+=(String.format("The number of syllables is %d\n" num.value)); ,EXPRESSION_STATEMENT, line no: 74,output+=(String.format("The number of syllables is %d\n" num.value)); ,EXPRESSION_STATEMENT, line no: 74, 0.0815, insert, 1.0, 3.0, 1.0
value=i; ,EXPRESSION_STATEMENT, line no: 7,i.value=0; ,EXPRESSION_STATEMENT, line no: 65, 0.06816363636363637, insert, 1.0, 1.0, 0.7272727272727273
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("The number of syllables is %d\n" num.value)); ,EXPRESSION_STATEMENT, line no: 74, 0.05984428571428572, insert, 1.0, 1.0, 0.5571428571428572
output+=(String.format("The number of syllables is %d\n" num.value)); ,EXPRESSION_STATEMENT, line no: 74,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.05984428571428572, insert, 1.0, 0.3333333333333333, 0.5571428571428572
value=i; ,EXPRESSION_STATEMENT, line no: 7,i.value=i.value + 1; ,EXPRESSION_STATEMENT, line no: 72, 0.05355714285714286, insert, 1.0, 1.0, 0.42857142857142855
value=i; ,EXPRESSION_STATEMENT, line no: 7,len.value=instr.length; ,EXPRESSION_STATEMENT, line no: 64, 0.050937500000000004, insert, 1.0, 1.0, 0.375
len.value=instr.length; ,EXPRESSION_STATEMENT, line no: 64,i.value=0; ,EXPRESSION_STATEMENT, line no: 65, 0.050937500000000004, insert, 1.0, 0.5, 0.375
i.value=0; ,EXPRESSION_STATEMENT, line no: 65,len.value=instr.length; ,EXPRESSION_STATEMENT, line no: 64, 0.050937500000000004, insert, 1.0, 0.75, 0.375
value=i; ,EXPRESSION_STATEMENT, line no: 7,num.value=num.value + 1; ,EXPRESSION_STATEMENT, line no: 70, 0.048248000000000006, insert, 1.0, 1.0, 0.32
instr=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 63,len.value=instr.length; ,EXPRESSION_STATEMENT, line no: 64, 0.04754166666666667, insert, 1.0, 0.75, 0.3055555555555556
len.value=instr.length; ,EXPRESSION_STATEMENT, line no: 64,instr=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 63, 0.04754166666666667, insert, 1.0, 0.5, 0.3055555555555556
value=i; ,EXPRESSION_STATEMENT, line no: 7,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.04618333333333333, insert, 1.0, 0.0, 0.2777777777777778
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 62,len.value=instr.length; ,EXPRESSION_STATEMENT, line no: 64, 0.04459433962264151, insert, 1.0, 0.0, 0.24528301886792453
len.value=instr.length; ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.04459433962264151, insert, 1.0, 0.0, 0.24528301886792453
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 62,instr=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 63, 0.04367169811320755, insert, 1.0, 0.0, 0.22641509433962265
instr=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.04367169811320755, insert, 1.0, 0.0, 0.22641509433962265
len.value=instr.length; ,EXPRESSION_STATEMENT, line no: 64,i.value=i.value + 1; ,EXPRESSION_STATEMENT, line no: 72, 0.042906478102189775, insert, 0.5036496350364964, 0.5, 0.5416666666666666
instr=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("The number of syllables is %d\n" num.value)); ,EXPRESSION_STATEMENT, line no: 74, 0.04238, insert, 1.0, 0.0, 0.2
output+=(String.format("The number of syllables is %d\n" num.value)); ,EXPRESSION_STATEMENT, line no: 74,instr=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 63, 0.04238, insert, 1.0, 0.0, 0.2
len.value=instr.length; ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("The number of syllables is %d\n" num.value)); ,EXPRESSION_STATEMENT, line no: 74, 0.04098285714285715, insert, 1.0, 0.6000000000000001, 0.17142857142857143
output+=(String.format("The number of syllables is %d\n" num.value)); ,EXPRESSION_STATEMENT, line no: 74,len.value=instr.length; ,EXPRESSION_STATEMENT, line no: 64, 0.04098285714285715, insert, 1.0, 0.6000000000000001, 0.17142857142857143
i.value=0; ,EXPRESSION_STATEMENT, line no: 65,i.value=i.value + 1; ,EXPRESSION_STATEMENT, line no: 72, 0.03970469238790407, insert, 0.5036496350364964, 2.0, 0.47619047619047616
value=i; ,EXPRESSION_STATEMENT, line no: 7,mainClass.scanner=new java.util.Scanner(args[0]); ,EXPRESSION_STATEMENT, line no: 51, 0.039446, insert, 1.0, 0.0, 0.14
instr=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 63,i.value=0; ,EXPRESSION_STATEMENT, line no: 65, 0.039391666666666665, insert, 1.0, 0.0, 0.1388888888888889
i.value=0; ,EXPRESSION_STATEMENT, line no: 65,instr=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 63, 0.039391666666666665, insert, 1.0, 0.0, 0.1388888888888889
value=i; ,EXPRESSION_STATEMENT, line no: 7,mainClass.scanner=new java.util.Scanner(System.in); ,EXPRESSION_STATEMENT, line no: 53, 0.03918269230769231, insert, 1.0, 0.0, 0.1346153846153846
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 62,i.value=0; ,EXPRESSION_STATEMENT, line no: 65, 0.03905849056603774, insert, 1.0, 0.0, 0.1320754716981132
i.value=0; ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.03905849056603774, insert, 1.0, 0.0, 0.1320754716981132
value=i; ,EXPRESSION_STATEMENT, line no: 7,System.out.println(mainClass.output); ,EXPRESSION_STATEMENT, line no: 56, 0.039034210526315796, insert, 1.0, 0.0, 0.13157894736842105
i.value=0; ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("The number of syllables is %d\n" num.value)); ,EXPRESSION_STATEMENT, line no: 74, 0.038887142857142856, insert, 1.0, 0.75, 0.12857142857142856
output+=(String.format("The number of syllables is %d\n" num.value)); ,EXPRESSION_STATEMENT, line no: 74,i.value=0; ,EXPRESSION_STATEMENT, line no: 65, 0.038887142857142856, insert, 1.0, 0.5, 0.12857142857142856
value=i; ,EXPRESSION_STATEMENT, line no: 7,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.03813584905660378, insert, 1.0, 0.0, 0.11320754716981132
value=i; ,EXPRESSION_STATEMENT, line no: 7,instr=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 63, 0.038033333333333336, insert, 1.0, 0.0, 0.1111111111111111
value=i; ,EXPRESSION_STATEMENT, line no: 7,output+=(String.format("The number of syllables is %d\n" num.value)); ,EXPRESSION_STATEMENT, line no: 74, 0.03749, insert, 1.0, 1.0, 0.1
i.value=0; ,EXPRESSION_STATEMENT, line no: 65,value=i; ,EXPRESSION_STATEMENT, line no: 7, 0.03651546118115461, insert, 0.029197080291970802, 0.5, 0.7272727272727273
String,SIMPLE_NAME, line no: 62,String,SIMPLE_NAME, line no: 49, 0.0313, insert, 0.3900709219858156, 0.0, 1.0
format,SIMPLE_NAME, line no: 62,format,SIMPLE_NAME, line no: 62, 0.0313, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 63,scanner,SIMPLE_NAME, line no: 51, 0.0313, insert, 0.1276595744680851, 1.0, 1.0
