output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.059519184582228046, insert, 1.0, 1.0, 1.0
str=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 63,str=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 63, 0.059519184582228046, insert, 1.0, 2.0, 1.0
len.value=str.length; ,EXPRESSION_STATEMENT, line no: 64,len.value=str.length; ,EXPRESSION_STATEMENT, line no: 64, 0.059519184582228046, insert, 1.0, 3.0, 1.0
syl.value=0; ,EXPRESSION_STATEMENT, line no: 65,syl.value=0; ,EXPRESSION_STATEMENT, line no: 65, 0.059519184582228046, insert, 1.0, 2.0, 1.0
output+=(String.format("The number of syllables is %d.\n" syl.value)); ,EXPRESSION_STATEMENT, line no: 73,output+=(String.format("The number of syllables is %d.\n" syl.value)); ,EXPRESSION_STATEMENT, line no: 73, 0.059519184582228046, insert, 1.0, 3.0, 1.0
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("The number of syllables is %d.\n" syl.value)); ,EXPRESSION_STATEMENT, line no: 73, 0.04342385579379455, insert, 1.0, 1.0, 0.5492957746478874
output+=(String.format("The number of syllables is %d.\n" syl.value)); ,EXPRESSION_STATEMENT, line no: 73,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.04342385579379455, insert, 1.0, 0.3333333333333333, 0.5492957746478874
len.value=str.length; ,EXPRESSION_STATEMENT, line no: 64,syl.value=0; ,EXPRESSION_STATEMENT, line no: 65, 0.04004017871895341, insert, 1.0, 0.5, 0.45454545454545453
syl.value=0; ,EXPRESSION_STATEMENT, line no: 65,len.value=str.length; ,EXPRESSION_STATEMENT, line no: 64, 0.04004017871895341, insert, 1.0, 0.75, 0.45454545454545453
str=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 63,len.value=str.length; ,EXPRESSION_STATEMENT, line no: 64, 0.033260720795950965, insert, 1.0, 0.75, 0.2647058823529412
len.value=str.length; ,EXPRESSION_STATEMENT, line no: 64,str=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 63, 0.033260720795950965, insert, 1.0, 0.5, 0.2647058823529412
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 62,str=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 63, 0.03189329890821276, insert, 1.0, 0.0, 0.22641509433962265
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 62,len.value=str.length; ,EXPRESSION_STATEMENT, line no: 64, 0.03189329890821276, insert, 1.0, 0.0, 0.22641509433962265
str=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.03189329890821276, insert, 1.0, 0.0, 0.22641509433962265
len.value=str.length; ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.03189329890821276, insert, 1.0, 0.0, 0.22641509433962265
syl.value=0; ,EXPRESSION_STATEMENT, line no: 65,syl.value++; ,EXPRESSION_STATEMENT, line no: 70, 0.03149938384044069, insert, 0.05384615384615385, 2.0, 0.8461538461538461
str=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("The number of syllables is %d.\n" syl.value)); ,EXPRESSION_STATEMENT, line no: 73, 0.030346401153192325, insert, 1.0, 0.0, 0.18309859154929578
output+=(String.format("The number of syllables is %d.\n" syl.value)); ,EXPRESSION_STATEMENT, line no: 73,str=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 63, 0.030346401153192325, insert, 1.0, 0.0, 0.18309859154929578
len.value=str.length; ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("The number of syllables is %d.\n" syl.value)); ,EXPRESSION_STATEMENT, line no: 73, 0.029340443103915235, insert, 1.0, 0.6000000000000001, 0.15492957746478872
syl.value=0; ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("The number of syllables is %d.\n" syl.value)); ,EXPRESSION_STATEMENT, line no: 73, 0.029340443103915235, insert, 1.0, 2.0, 0.15492957746478872
output+=(String.format("The number of syllables is %d.\n" syl.value)); ,EXPRESSION_STATEMENT, line no: 73,len.value=str.length; ,EXPRESSION_STATEMENT, line no: 64, 0.029340443103915235, insert, 1.0, 0.6000000000000001, 0.15492957746478872
output+=(String.format("The number of syllables is %d.\n" syl.value)); ,EXPRESSION_STATEMENT, line no: 73,syl.value=0; ,EXPRESSION_STATEMENT, line no: 65, 0.029340443103915235, insert, 1.0, 1.3333333333333333, 0.15492957746478872
str=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 63,syl.value=0; ,EXPRESSION_STATEMENT, line no: 65, 0.029059366590146636, insert, 1.0, 0.0, 0.14705882352941177
syl.value=0; ,EXPRESSION_STATEMENT, line no: 65,str=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 63, 0.029059366590146636, insert, 1.0, 0.0, 0.14705882352941177
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 62,syl.value=0; ,EXPRESSION_STATEMENT, line no: 65, 0.027850486370551993, insert, 1.0, 0.0, 0.11320754716981132
syl.value=0; ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 62, 0.027850486370551993, insert, 1.0, 0.0, 0.11320754716981132
String,SIMPLE_NAME, line no: 62,String,SIMPLE_NAME, line no: 49, 0.02285828806654893, insert, 0.41044776119402987, 0.0, 1.0
format,SIMPLE_NAME, line no: 62,format,SIMPLE_NAME, line no: 62, 0.02285828806654893, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 63,scanner,SIMPLE_NAME, line no: 51, 0.02285828806654893, insert, 0.13432835820895522, 1.0, 1.0
next,SIMPLE_NAME, line no: 63,next,SIMPLE_NAME, line no: 63, 0.02285828806654893, insert, 1.0, 0.0, 1.0
toCharArray,SIMPLE_NAME, line no: 63,toCharArray,SIMPLE_NAME, line no: 63, 0.02285828806654893, insert, 1.0, 0.0, 1.0
String,SIMPLE_NAME, line no: 73,String,SIMPLE_NAME, line no: 49, 0.02285828806654893, insert, 0.41044776119402987, 0.0, 1.0
format,SIMPLE_NAME, line no: 73,format,SIMPLE_NAME, line no: 62, 0.02285828806654893, insert, 1.0, 0.0, 1.0
syl,SIMPLE_NAME, line no: 73,syl,SIMPLE_NAME, line no: 61, 0.02285828806654893, insert, 0.9629629629629629, 1.0, 1.0
