value=i; ,EXPRESSION_STATEMENT, line no: 7,value=i; ,EXPRESSION_STATEMENT, line no: 7, 0.05762920266670362, insert, 1.0, 1.0, 1.0
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.05762920266670362, insert, 1.0, 1.0, 1.0
list=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 64,list=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 64, 0.05762920266670362, insert, 1.0, 2.0, 1.0
totChar.value=list.length; ,EXPRESSION_STATEMENT, line no: 65,totChar.value=list.length; ,EXPRESSION_STATEMENT, line no: 65, 0.05762920266670362, insert, 1.0, 3.0, 1.0
output+=(String.format("The number of syllables is %d.\n" counter.value)); ,EXPRESSION_STATEMENT, line no: 74,output+=(String.format("The number of syllables is %d.\n" counter.value)); ,EXPRESSION_STATEMENT, line no: 74, 0.05762920266670362, insert, 1.0, 3.0, 1.0
value=i; ,EXPRESSION_STATEMENT, line no: 7,i.value++; ,EXPRESSION_STATEMENT, line no: 72, 0.045055558448513736, insert, 1.0, 1.0, 0.6363636363636364
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("The number of syllables is %d.\n" counter.value)); ,EXPRESSION_STATEMENT, line no: 74, 0.041031992298692976, insert, 1.0, 1.0, 0.52
output+=(String.format("The number of syllables is %d.\n" counter.value)); ,EXPRESSION_STATEMENT, line no: 74,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.041031992298692976, insert, 1.0, 0.3333333333333333, 0.52
value=i; ,EXPRESSION_STATEMENT, line no: 7,totChar.value=list.length; ,EXPRESSION_STATEMENT, line no: 65, 0.03457752160002217, insert, 1.0, 1.0, 0.3333333333333333
list=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 64,totChar.value=list.length; ,EXPRESSION_STATEMENT, line no: 65, 0.03391890214097413, insert, 1.0, 0.75, 0.3142857142857143
totChar.value=list.length; ,EXPRESSION_STATEMENT, line no: 65,list=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 64, 0.03391890214097413, insert, 1.0, 0.5, 0.3142857142857143
value=i; ,EXPRESSION_STATEMENT, line no: 7,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.03265654817779872, insert, 1.0, 0.0, 0.2777777777777778
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 63,totChar.value=list.length; ,EXPRESSION_STATEMENT, line no: 65, 0.0321853660176307, insert, 1.0, 0.0, 0.2641509433962264
totChar.value=list.length; ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.0321853660176307, insert, 1.0, 0.0, 0.2641509433962264
value=i; ,EXPRESSION_STATEMENT, line no: 7,counter.value=counter.value + 1; ,EXPRESSION_STATEMENT, line no: 70, 0.0314341105454747, insert, 1.0, 1.0, 0.24242424242424243
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 63,list=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 64, 0.030880553881780806, insert, 1.0, 0.0, 0.22641509433962265
list=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.030880553881780806, insert, 1.0, 0.0, 0.22641509433962265
totChar.value=list.length; ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("The number of syllables is %d.\n" counter.value)); ,EXPRESSION_STATEMENT, line no: 74, 0.03042821900801951, insert, 1.0, 0.6000000000000001, 0.21333333333333335
output+=(String.format("The number of syllables is %d.\n" counter.value)); ,EXPRESSION_STATEMENT, line no: 74,totChar.value=list.length; ,EXPRESSION_STATEMENT, line no: 65, 0.03042821900801951, insert, 1.0, 0.6000000000000001, 0.21333333333333335
