output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.05762920266670362, insert, 1.0, 1.0, 1.0
input=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 64,input=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 64, 0.05762920266670362, insert, 1.0, 2.0, 1.0
len.value=input.length; ,EXPRESSION_STATEMENT, line no: 65,len.value=input.length; ,EXPRESSION_STATEMENT, line no: 65, 0.05762920266670362, insert, 1.0, 3.0, 1.0
s.value=0; ,EXPRESSION_STATEMENT, line no: 66,s.value=0; ,EXPRESSION_STATEMENT, line no: 66, 0.05762920266670362, insert, 1.0, 2.0, 1.0
output+=(String.format("The number of syllables is %d.\n" s.value)); ,EXPRESSION_STATEMENT, line no: 91,output+=(String.format("The number of syllables is %d.\n" s.value)); ,EXPRESSION_STATEMENT, line no: 91, 0.05762920266670362, insert, 1.0, 3.0, 1.0
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("The number of syllables is %d.\n" s.value)); ,EXPRESSION_STATEMENT, line no: 91, 0.04259549762321572, insert, 1.0, 1.0, 0.5652173913043478
output+=(String.format("The number of syllables is %d.\n" s.value)); ,EXPRESSION_STATEMENT, line no: 91,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.04259549762321572, insert, 1.0, 0.3333333333333333, 0.5652173913043478
s.value=0; ,EXPRESSION_STATEMENT, line no: 66,s.value++; ,EXPRESSION_STATEMENT, line no: 70, 0.03816999137664785, insert, 0.42857142857142855, 2.0, 0.8181818181818182
len.value=input.length; ,EXPRESSION_STATEMENT, line no: 65,s.value=0; ,EXPRESSION_STATEMENT, line no: 66, 0.03601825166668976, insert, 1.0, 0.5, 0.375
s.value=0; ,EXPRESSION_STATEMENT, line no: 66,len.value=input.length; ,EXPRESSION_STATEMENT, line no: 65, 0.03601825166668976, insert, 1.0, 0.75, 0.375
input=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 64,len.value=input.length; ,EXPRESSION_STATEMENT, line no: 65, 0.03361703488891045, insert, 1.0, 0.75, 0.3055555555555556
len.value=input.length; ,EXPRESSION_STATEMENT, line no: 65,input=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 64, 0.03361703488891045, insert, 1.0, 0.5, 0.3055555555555556
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 63,input=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 64, 0.0321853660176307, insert, 1.0, 0.0, 0.2641509433962264
input=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.0321853660176307, insert, 1.0, 0.0, 0.2641509433962264
output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 63,len.value=input.length; ,EXPRESSION_STATEMENT, line no: 65, 0.030880553881780806, insert, 1.0, 0.0, 0.22641509433962265
len.value=input.length; ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("Please enter a string > ")); ,EXPRESSION_STATEMENT, line no: 63, 0.030880553881780806, insert, 1.0, 0.0, 0.22641509433962265
input=scanner.next().toCharArray(); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("The number of syllables is %d.\n" s.value)); ,EXPRESSION_STATEMENT, line no: 91, 0.0305685335884254, insert, 1.0, 0.0, 0.21739130434782608
